Batch	planned	retained	planned_DGRP	retained_DGRP	planned_CS	retained_CS	DGRP_lines	monitor_files	analysis_start_min	analysis_start_max	analysis_stop_max	sex	temperature
"Batch1_DGRP"	352	267	352	267	0	0	11	11	2025-07-11T10:00:00Z	2025-07-11T10:00:00Z	2025-07-17T11:59:00Z	"M"	"21.5C"
"Batch10_DGRP"	288	214	256	184	32	30	8	9	2025-10-11T10:00:00Z	2025-10-11T10:00:00Z	2025-10-17T11:59:00Z	"M"	"21.5C"
"Batch11_DGRP"	352	236	320	207	32	29	10	11	2025-10-18T10:00:00Z	2025-10-18T10:00:00Z	2025-10-24T10:30:00Z	"M"	"21.5C"
"Batch12_DGRP"	352	261	320	231	32	30	10	11	2025-10-25T10:00:00Z	2025-10-25T10:00:00Z	2025-10-31T10:30:00Z	"M"	"21.5C"
"Batch13_DGRP"	320	220	288	188	32	32	9	10	2025-10-31T10:00:00Z	2025-10-31T10:00:00Z	2025-11-06T10:30:00Z	"M"	"21.5C"
"Batch14_DGRP"	352	212	320	200	32	12	10	11	2025-11-08T10:00:00Z	2025-11-08T10:00:00Z	2025-11-14T10:30:00Z	"M"	"21.5C"
"Batch15_DGRP"	320	272	288	242	32	30	9	10	2025-11-15T10:00:00Z	2025-11-15T10:00:00Z	2025-11-21T16:30:00Z	"M"	"21.5C"
"Batch16_DGRP"	352	182	320	159	32	23	10	11	2025-11-22T10:00:00Z	2025-11-22T10:00:00Z	2025-11-28T10:30:00Z	"M"	"21.5C"
"Batch18_DGRP"	416	243	384	222	32	21	12	13	2025-12-06T10:00:00Z	2025-12-06T10:00:00Z	2025-12-12T10:30:00Z	"M"	"21.5C"
"Batch19_DGRP"	416	309	384	282	32	27	12	13	2025-12-13T10:00:00Z	2025-12-13T10:00:00Z	2025-12-19T10:30:00Z	"M"	"21.5C"
"Batch20_DGRP"	384	274	384	274	0	0	12	12	2025-12-20T10:00:00Z	2025-12-20T10:00:00Z	2025-12-26T10:30:00Z	"M"	"21.5C"
"Batch21_DGRP"	256	138	256	138	0	0	8	8	2026-01-17T10:00:00Z	2026-01-17T10:00:00Z	2026-01-23T10:30:00Z	"M"	"21.5C"
"Batch22_DGRP"	416	269	384	240	32	29	12	13	2026-01-24T10:00:00Z	2026-01-24T10:00:00Z	2026-01-30T10:30:00Z	"M"	"21.5C"
"Batch23_DGRP"	256	179	224	152	32	27	7	8	2026-01-31T10:00:00Z	2026-01-31T10:00:00Z	2026-02-06T10:30:00Z	"M"	"21.5C"
"Batch24_DGRP"	384	242	352	219	32	23	11	12	2026-02-07T10:00:00Z	2026-02-07T10:00:00Z	2026-02-13T10:30:00Z	"M"	"21.5C"
"Batch25_DGRP"	352	224	320	195	32	29	10	11	2026-02-14T10:00:00Z	2026-02-14T10:00:00Z	2026-02-20T10:30:00Z	"M"	"21.5C"
"Batch26_DGRP"	416	313	384	282	32	31	12	13	2026-03-21T09:00:00Z	2026-03-21T09:00:00Z	2026-03-27T09:30:00Z	"M"	"21.5C"
"Batch27_DGRP"	288	211	256	182	32	29	8	9	2026-03-28T09:00:00Z	2026-03-28T09:00:00Z	2026-04-03T09:30:00Z	"M"	"21.5C"
"Batch28_DGRP"	192	125	160	98	32	27	5	6	2026-04-04T09:00:00Z	2026-04-04T09:00:00Z	2026-04-10T09:30:00Z	"M"	"21.5C"
"Batch29_DGRP"	288	234	256	208	32	26	8	9	2026-04-18T09:00:00Z	2026-04-18T09:00:00Z	2026-04-24T09:30:00Z	"M"	"21.5C"
"Batch3_DGRP"	320	248	288	216	32	32	9	10	2025-07-25T10:00:00Z	2025-07-25T10:00:00Z	2025-07-31T10:30:00Z	"M"	"21.5C"
"Batch31_DGRP"	256	144	224	127	32	17	7	8	2026-05-02T09:00:00Z	2026-05-02T09:00:00Z	2026-05-08T09:30:00Z	"M"	"21.5C"
"Batch4a_DGRP"	96	80	96	80	0	0	3	3	2025-07-25T10:00:00Z	2025-07-26T10:00:00Z	2025-08-01T11:59:00Z	"M"	"21.5C"
"Batch4b_DGRP"	160	112	160	112	0	0	5	5	2025-08-02T10:00:00Z	2025-08-02T10:00:00Z	2025-08-08T11:59:00Z	"M"	"21.5C"
"Batch4c_DGRP"	288	176	288	176	0	0	9	9	2025-08-16T10:00:00Z	2025-08-16T10:00:00Z	2025-08-22T11:59:00Z	"M"	"21.5C"
"Batch5b_DGRP"	320	217	288	196	32	21	9	10	2025-09-06T10:00:00Z	2025-09-06T10:00:00Z	2025-09-12T10:20:00Z	"M"	"21.5C"
"Batch6_DGRP"	288	188	256	164	32	24	8	9	2025-08-30T10:00:00Z	2025-08-30T10:00:00Z	2025-09-05T10:20:00Z	"M"	"21.5C"
"Batch7_DGRP"	32	19	32	19	0	0	1	1	2025-09-13T10:00:00Z	2025-09-13T10:00:00Z	2025-09-19T11:59:00Z	"M"	"21.5C"
"Batch8_DGRP"	288	145	288	145	0	0	9	9	2025-09-20T10:00:00Z	2025-09-20T10:00:00Z	2025-09-26T10:20:00Z	"M"	"21.5C"
"Batch9_DGRP"	352	274	320	246	32	28	10	11	2025-10-04T10:00:00Z	2025-10-04T10:00:00Z	2025-10-10T10:20:00Z	"M"	"21.5C"
