Batch	Genotype	planned	retained	n_monitors
"Batch1_DGRP"	"DGRP303"	32	28	1
"Batch1_DGRP"	"DGRP335"	32	4	1
"Batch1_DGRP"	"DGRP307"	32	24	1
"Batch1_DGRP"	"DGRP362"	32	29	1
"Batch1_DGRP"	"DGRP313"	32	31	1
"Batch1_DGRP"	"DGRP358"	32	22	1
"Batch1_DGRP"	"DGRP208"	32	28	1
"Batch1_DGRP"	"DGRP304"	32	27	1
"Batch1_DGRP"	"DGRP324"	32	29	1
"Batch1_DGRP"	"DGRP360"	32	23	1
"Batch1_DGRP"	"DGRP375"	32	22	1
"Batch10_DGRP"	"DGRP595"	32	31	1
"Batch10_DGRP"	"DGRP596"	32	30	1
"Batch10_DGRP"	"CS"	32	30	1
"Batch10_DGRP"	"DGRP531"	32	16	1
"Batch10_DGRP"	"DGRP492"	32	11	1
"Batch10_DGRP"	"DGRP161"	32	15	1
"Batch10_DGRP"	"DGRP822"	32	28	1
"Batch10_DGRP"	"DGRP634"	32	24	1
"Batch10_DGRP"	"DGRP890"	32	29	1
"Batch11_DGRP"	"CS"	32	29	1
"Batch11_DGRP"	"DGRP208"	32	26	1
"Batch11_DGRP"	"DGRP235"	32	11	1
"Batch11_DGRP"	"DGRP380"	32	24	1
"Batch11_DGRP"	"DGRP399"	32	27	1
"Batch11_DGRP"	"DGRP502"	32	28	1
"Batch11_DGRP"	"DGRP555"	32	16	1
"Batch11_DGRP"	"DGRP730"	32	30	1
"Batch11_DGRP"	"DGRP738"	32	28	1
"Batch11_DGRP"	"DGRP765"	32	7	1
"Batch11_DGRP"	"DGRP832"	32	10	1
"Batch12_DGRP"	"CS"	32	30	1
"Batch12_DGRP"	"DGRP303"	32	14	1
"Batch12_DGRP"	"DGRP304"	32	21	1
"Batch12_DGRP"	"DGRP307"	32	27	1
"Batch12_DGRP"	"DGRP313"	32	27	1
"Batch12_DGRP"	"DGRP324"	32	26	1
"Batch12_DGRP"	"DGRP335"	32	15	1
"Batch12_DGRP"	"DGRP358"	32	25	1
"Batch12_DGRP"	"DGRP360"	32	24	1
"Batch12_DGRP"	"DGRP362"	32	30	1
"Batch12_DGRP"	"DGRP375"	32	22	1
"Batch13_DGRP"	"CS"	32	32	1
"Batch13_DGRP"	"DGRP21"	32	17	1
"Batch13_DGRP"	"DGRP73"	32	10	1
"Batch13_DGRP"	"DGRP91"	32	25	1
"Batch13_DGRP"	"DGRP176"	32	29	1
"Batch13_DGRP"	"DGRP177"	32	6	1
"Batch13_DGRP"	"DGRP280"	32	27	1
"Batch13_DGRP"	"DGRP306"	32	30	1
"Batch13_DGRP"	"DGRP373"	32	24	1
"Batch13_DGRP"	"DGRP790"	32	20	1
"Batch14_DGRP"	"CS"	32	12	1
"Batch14_DGRP"	"DGRP26"	32	9	1
"Batch14_DGRP"	"DGRP32"	32	29	1
"Batch14_DGRP"	"DGRP41"	32	25	1
"Batch14_DGRP"	"DGRP45"	32	25	1
"Batch14_DGRP"	"DGRP48"	32	22	1
"Batch14_DGRP"	"DGRP57"	32	21	1
"Batch14_DGRP"	"DGRP75"	32	24	1
"Batch14_DGRP"	"DGRP83"	32	7	1
"Batch14_DGRP"	"DGRP85"	32	21	1
"Batch14_DGRP"	"DGRP820"	32	17	1
"Batch15_DGRP"	"CS"	32	30	1
"Batch15_DGRP"	"DGRP93"	32	30	1
"Batch15_DGRP"	"DGRP100"	32	28	1
"Batch15_DGRP"	"DGRP109"	32	30	1
"Batch15_DGRP"	"DGRP129"	32	29	1
"Batch15_DGRP"	"DGRP142"	32	30	1
"Batch15_DGRP"	"DGRP149"	32	29	1
"Batch15_DGRP"	"DGRP229"	32	30	1
"Batch15_DGRP"	"DGRP239"	32	18	1
"Batch15_DGRP"	"DGRP492"	32	18	1
"Batch16_DGRP"	"CS"	32	23	1
"Batch16_DGRP"	"DGRP189"	32	12	1
"Batch16_DGRP"	"DGRP195"	32	2	1
"Batch16_DGRP"	"DGRP228"	32	23	1
"Batch16_DGRP"	"DGRP287"	32	24	1
"Batch16_DGRP"	"DGRP391"	32	25	1
"Batch16_DGRP"	"DGRP437"	32	9	1
"Batch16_DGRP"	"DGRP486"	32	16	1
"Batch16_DGRP"	"DGRP639"	32	18	1
"Batch16_DGRP"	"DGRP712"	32	17	1
"Batch16_DGRP"	"DGRP732"	32	13	1
"Batch18_DGRP"	"DGRP38"	32	25	1
"Batch18_DGRP"	"DGRP354"	32	28	1
"Batch18_DGRP"	"DGRP88"	32	22	1
"Batch18_DGRP"	"DGRP309"	32	11	1
"Batch18_DGRP"	"DGRP317"	32	25	1
"Batch18_DGRP"	"DGRP319"	32	8	1
"Batch18_DGRP"	"DGRP320"	32	8	1
"Batch18_DGRP"	"DGRP321"	32	17	1
"Batch18_DGRP"	"DGRP332"	32	13	1
"Batch18_DGRP"	"DGRP348"	32	20	1
"Batch18_DGRP"	"DGRP350"	32	20	1
"Batch18_DGRP"	"DGRP352"	32	25	1
"Batch18_DGRP"	"CS"	32	21	1
"Batch19_DGRP"	"CS"	32	27	1
"Batch19_DGRP"	"DGRP354"	32	23	1
"Batch19_DGRP"	"DGRP355"	32	29	1
"Batch19_DGRP"	"DGRP356"	32	19	1
"Batch19_DGRP"	"DGRP359"	32	23	1
"Batch19_DGRP"	"DGRP361"	32	17	1
"Batch19_DGRP"	"DGRP370"	32	25	1
"Batch19_DGRP"	"DGRP371"	32	28	1
"Batch19_DGRP"	"DGRP377"	32	22	1
"Batch19_DGRP"	"DGRP381"	32	28	1
"Batch19_DGRP"	"DGRP385"	32	29	1
"Batch19_DGRP"	"DGRP386"	32	16	1
"Batch19_DGRP"	"DGRP390"	32	23	1
"Batch20_DGRP"	"DGRP382"	32	7	1
"Batch20_DGRP"	"DGRP383"	32	21	1
"Batch20_DGRP"	"DGRP392"	32	31	1
"Batch20_DGRP"	"DGRP395"	32	25	1
"Batch20_DGRP"	"DGRP397"	32	30	1
"Batch20_DGRP"	"DGRP405"	32	24	1
"Batch20_DGRP"	"DGRP406"	32	22	1
"Batch20_DGRP"	"DGRP426"	32	15	1
"Batch20_DGRP"	"DGRP427"	32	22	1
"Batch20_DGRP"	"DGRP439"	32	27	1
"Batch20_DGRP"	"DGRP440"	32	25	1
"Batch20_DGRP"	"DGRP443"	32	25	1
"Batch21_DGRP"	"DGRP40"	32	15	1
"Batch21_DGRP"	"DGRP461"	32	14	1
"Batch21_DGRP"	"DGRP505"	32	20	1
"Batch21_DGRP"	"DGRP491"	32	8	1
"Batch21_DGRP"	"DGRP509"	32	22	1
"Batch21_DGRP"	"DGRP528"	32	14	1
"Batch21_DGRP"	"DGRP535"	32	19	1
"Batch21_DGRP"	"DGRP551"	32	26	1
"Batch22_DGRP"	"CS"	32	29	1
"Batch22_DGRP"	"DGRP559"	32	21	1
"Batch22_DGRP"	"DGRP563"	32	28	1
"Batch22_DGRP"	"DGRP566"	32	23	1
"Batch22_DGRP"	"DGRP584"	32	19	1
"Batch22_DGRP"	"DGRP627"	32	17	1
"Batch22_DGRP"	"DGRP630"	32	14	1
"Batch22_DGRP"	"DGRP707"	32	18	1
"Batch22_DGRP"	"DGRP721"	32	21	1
"Batch22_DGRP"	"DGRP748"	32	14	1
"Batch22_DGRP"	"DGRP757"	32	16	1
"Batch22_DGRP"	"DGRP776"	32	23	1
"Batch22_DGRP"	"DGRP783"	32	26	1
"Batch23_DGRP"	"DGRP73"	32	16	1
"Batch23_DGRP"	"DGRP161"	32	20	1
"Batch23_DGRP"	"DGRP761"	32	17	1
"Batch23_DGRP"	"DGRP801"	32	24	1
"Batch23_DGRP"	"DGRP805"	32	26	1
"Batch23_DGRP"	"DGRP818"	32	18	1
"Batch23_DGRP"	"DGRP819"	32	31	1
"Batch23_DGRP"	"CS"	32	27	1
"Batch24_DGRP"	"CS"	32	23	1
"Batch24_DGRP"	"DGRP69"	32	16	1
"Batch24_DGRP"	"DGRP181"	32	25	1
"Batch24_DGRP"	"DGRP195"	32	11	1
"Batch24_DGRP"	"DGRP336"	32	14	1
"Batch24_DGRP"	"DGRP812"	32	17	1
"Batch24_DGRP"	"DGRP850"	32	19	1
"Batch24_DGRP"	"DGRP855"	32	22	1
"Batch24_DGRP"	"DGRP857"	32	28	1
"Batch24_DGRP"	"DGRP861"	32	20	1
"Batch24_DGRP"	"DGRP879"	32	19	1
"Batch24_DGRP"	"DGRP900"	32	28	1
"Batch25_DGRP"	"CS"	32	29	1
"Batch25_DGRP"	"DGRP382"	32	12	1
"Batch25_DGRP"	"DGRP391"	32	21	1
"Batch25_DGRP"	"DGRP508"	32	7	1
"Batch25_DGRP"	"DGRP513"	32	16	1
"Batch25_DGRP"	"DGRP589"	32	21	1
"Batch25_DGRP"	"DGRP765"	32	27	1
"Batch25_DGRP"	"DGRP802"	32	23	1
"Batch25_DGRP"	"DGRP810"	32	30	1
"Batch25_DGRP"	"DGRP821"	32	14	1
"Batch25_DGRP"	"DGRP911"	32	24	1
"Batch26_DGRP"	"CS"	32	31	1
"Batch26_DGRP"	"DGRP26"	32	30	1
"Batch26_DGRP"	"DGRP83"	32	17	1
"Batch26_DGRP"	"DGRP189"	32	27	1
"Batch26_DGRP"	"DGRP195"	32	22	1
"Batch26_DGRP"	"DGRP235"	32	17	1
"Batch26_DGRP"	"DGRP309"	32	29	1
"Batch26_DGRP"	"DGRP319"	32	11	1
"Batch26_DGRP"	"DGRP320"	32	23	1
"Batch26_DGRP"	"DGRP332"	32	26	1
"Batch26_DGRP"	"DGRP382"	32	20	1
"Batch26_DGRP"	"DGRP391"	32	29	1
"Batch26_DGRP"	"DGRP491"	32	31	1
"Batch27_DGRP"	"CS"	32	29	1
"Batch27_DGRP"	"DGRP40"	32	20	1
"Batch27_DGRP"	"DGRP336"	32	10	1
"Batch27_DGRP"	"DGRP513"	32	24	1
"Batch27_DGRP"	"DGRP517"	32	26	1
"Batch27_DGRP"	"DGRP630"	32	28	1
"Batch27_DGRP"	"DGRP748"	32	28	1
"Batch27_DGRP"	"DGRP765"	32	30	1
"Batch27_DGRP"	"DGRP821"	32	16	1
"Batch28_DGRP"	"CS"	32	27	1
"Batch28_DGRP"	"DGRP409"	32	20	1
"Batch28_DGRP"	"DGRP83"	32	2	1
"Batch28_DGRP"	"DGRP437"	32	27	1
"Batch28_DGRP"	"DGRP757"	32	24	1
"Batch28_DGRP"	"DGRP386"	32	25	1
"Batch29_DGRP"	"CS"	32	26	1
"Batch29_DGRP"	"DGRP239"	32	26	1
"Batch29_DGRP"	"DGRP319"	32	25	1
"Batch29_DGRP"	"DGRP321"	32	30	1
"Batch29_DGRP"	"DGRP336"	32	24	1
"Batch29_DGRP"	"DGRP338"	32	25	1
"Batch29_DGRP"	"DGRP356"	32	25	1
"Batch29_DGRP"	"DGRP528"	32	30	1
"Batch29_DGRP"	"DGRP837"	32	23	1
"Batch3_DGRP"	"DGRP774"	32	26	1
"Batch3_DGRP"	"DGRP301"	32	23	1
"Batch3_DGRP"	"DGRP799"	32	30	1
"Batch3_DGRP"	"DGRP714"	32	19	1
"Batch3_DGRP"	"DGRP705"	32	12	1
"Batch3_DGRP"	"DGRP859"	32	31	1
"Batch3_DGRP"	"CS"	32	32	1
