Batch	monitor	n_genotypes	genotypes
"Batch1_DGRP"	"M10"	1	"DGRP303"
"Batch1_DGRP"	"M5"	1	"DGRP335"
"Batch1_DGRP"	"M50"	1	"DGRP307"
"Batch1_DGRP"	"M51"	1	"DGRP362"
"Batch1_DGRP"	"M52"	1	"DGRP313"
"Batch1_DGRP"	"M53"	1	"DGRP358"
"Batch1_DGRP"	"M54"	1	"DGRP208"
"Batch1_DGRP"	"M6"	1	"DGRP304"
"Batch1_DGRP"	"M7"	1	"DGRP324"
"Batch1_DGRP"	"M8"	1	"DGRP360"
"Batch1_DGRP"	"M9"	1	"DGRP375"
"Batch10_DGRP"	"M50"	1	"DGRP595"
"Batch10_DGRP"	"M51"	1	"DGRP596"
"Batch10_DGRP"	"M52"	1	"CS"
"Batch10_DGRP"	"M53"	1	"DGRP531"
"Batch10_DGRP"	"M54"	1	"DGRP492"
"Batch10_DGRP"	"M55"	1	"DGRP161"
"Batch10_DGRP"	"M58"	1	"DGRP822"
"Batch10_DGRP"	"M59"	1	"DGRP634"
"Batch10_DGRP"	"M60"	1	"DGRP890"
"Batch11_DGRP"	"M27"	1	"CS"
"Batch11_DGRP"	"M30"	1	"DGRP208"
"Batch11_DGRP"	"M31"	1	"DGRP235"
"Batch11_DGRP"	"M32"	1	"DGRP380"
"Batch11_DGRP"	"M33"	1	"DGRP399"
"Batch11_DGRP"	"M34"	1	"DGRP502"
"Batch11_DGRP"	"M37"	1	"DGRP555"
"Batch11_DGRP"	"M38"	1	"DGRP730"
"Batch11_DGRP"	"M39"	1	"DGRP738"
"Batch11_DGRP"	"M41"	1	"DGRP765"
"Batch11_DGRP"	"M42"	1	"DGRP832"
"Batch12_DGRP"	"M48"	1	"CS"
"Batch12_DGRP"	"M49"	1	"DGRP303"
"Batch12_DGRP"	"M50"	1	"DGRP304"
"Batch12_DGRP"	"M51"	1	"DGRP307"
"Batch12_DGRP"	"M52"	1	"DGRP313"
"Batch12_DGRP"	"M53"	1	"DGRP324"
"Batch12_DGRP"	"M54"	1	"DGRP335"
"Batch12_DGRP"	"M55"	1	"DGRP358"
"Batch12_DGRP"	"M58"	1	"DGRP360"
"Batch12_DGRP"	"M59"	1	"DGRP362"
"Batch12_DGRP"	"M60"	1	"DGRP375"
"Batch13_DGRP"	"M45"	1	"CS"
"Batch13_DGRP"	"M46"	1	"DGRP21"
"Batch13_DGRP"	"M47"	1	"DGRP73"
"Batch13_DGRP"	"M48"	1	"DGRP91"
"Batch13_DGRP"	"M49"	1	"DGRP176"
"Batch13_DGRP"	"M50"	1	"DGRP177"
"Batch13_DGRP"	"M51"	1	"DGRP280"
"Batch13_DGRP"	"M52"	1	"DGRP306"
"Batch13_DGRP"	"M53"	1	"DGRP373"
"Batch13_DGRP"	"M54"	1	"DGRP790"
"Batch14_DGRP"	"M25"	1	"CS"
"Batch14_DGRP"	"M26"	1	"DGRP26"
"Batch14_DGRP"	"M27"	1	"DGRP32"
"Batch14_DGRP"	"M28"	1	"DGRP41"
"Batch14_DGRP"	"M29"	1	"DGRP45"
"Batch14_DGRP"	"M30"	1	"DGRP48"
"Batch14_DGRP"	"M31"	1	"DGRP57"
"Batch14_DGRP"	"M32"	1	"DGRP75"
"Batch14_DGRP"	"M33"	1	"DGRP83"
"Batch14_DGRP"	"M34"	1	"DGRP85"
"Batch14_DGRP"	"M55"	1	"DGRP820"
"Batch15_DGRP"	"M44"	1	"CS"
"Batch15_DGRP"	"M45"	1	"DGRP93"
"Batch15_DGRP"	"M46"	1	"DGRP100"
"Batch15_DGRP"	"M47"	1	"DGRP109"
"Batch15_DGRP"	"M48"	1	"DGRP129"
"Batch15_DGRP"	"M49"	1	"DGRP142"
"Batch15_DGRP"	"M50"	1	"DGRP149"
"Batch15_DGRP"	"M51"	1	"DGRP229"
"Batch15_DGRP"	"M52"	1	"DGRP239"
"Batch15_DGRP"	"M53"	1	"DGRP492"
"Batch16_DGRP"	"M25"	1	"CS"
"Batch16_DGRP"	"M26"	1	"DGRP189"
"Batch16_DGRP"	"M27"	1	"DGRP195"
"Batch16_DGRP"	"M28"	1	"DGRP228"
"Batch16_DGRP"	"M29"	1	"DGRP287"
"Batch16_DGRP"	"M30"	1	"DGRP391"
"Batch16_DGRP"	"M31"	1	"DGRP437"
"Batch16_DGRP"	"M32"	1	"DGRP486"
"Batch16_DGRP"	"M33"	1	"DGRP639"
"Batch16_DGRP"	"M34"	1	"DGRP712"
"Batch16_DGRP"	"M35"	1	"DGRP732"
"Batch18_DGRP"	"M44"	1	"DGRP38"
"Batch18_DGRP"	"M45"	1	"DGRP354"
"Batch18_DGRP"	"M46"	1	"DGRP88"
"Batch18_DGRP"	"M47"	1	"DGRP309"
"Batch18_DGRP"	"M48"	1	"DGRP317"
"Batch18_DGRP"	"M49"	1	"DGRP319"
"Batch18_DGRP"	"M50"	1	"DGRP320"
"Batch18_DGRP"	"M51"	1	"DGRP321"
"Batch18_DGRP"	"M52"	1	"DGRP332"
"Batch18_DGRP"	"M53"	1	"DGRP348"
"Batch18_DGRP"	"M54"	1	"DGRP350"
"Batch18_DGRP"	"M55"	1	"DGRP352"
"Batch18_DGRP"	"M58"	1	"CS"
"Batch19_DGRP"	"M23"	1	"CS"
"Batch19_DGRP"	"M24"	1	"DGRP354"
"Batch19_DGRP"	"M25"	1	"DGRP355"
"Batch19_DGRP"	"M26"	1	"DGRP356"
"Batch19_DGRP"	"M27"	1	"DGRP359"
"Batch19_DGRP"	"M28"	1	"DGRP361"
"Batch19_DGRP"	"M29"	1	"DGRP370"
"Batch19_DGRP"	"M30"	1	"DGRP371"
"Batch19_DGRP"	"M31"	1	"DGRP377"
"Batch19_DGRP"	"M32"	1	"DGRP381"
"Batch19_DGRP"	"M33"	1	"DGRP385"
"Batch19_DGRP"	"M34"	1	"DGRP386"
"Batch19_DGRP"	"M35"	1	"DGRP390"
"Batch20_DGRP"	"M44"	1	"DGRP382"
"Batch20_DGRP"	"M45"	1	"DGRP383"
"Batch20_DGRP"	"M46"	1	"DGRP392"
"Batch20_DGRP"	"M47"	1	"DGRP395"
"Batch20_DGRP"	"M48"	1	"DGRP397"
"Batch20_DGRP"	"M49"	1	"DGRP405"
"Batch20_DGRP"	"M50"	1	"DGRP406"
"Batch20_DGRP"	"M51"	1	"DGRP426"
"Batch20_DGRP"	"M52"	1	"DGRP427"
"Batch20_DGRP"	"M53"	1	"DGRP439"
"Batch20_DGRP"	"M54"	1	"DGRP440"
"Batch20_DGRP"	"M55"	1	"DGRP443"
"Batch21_DGRP"	"M44"	1	"DGRP40"
"Batch21_DGRP"	"M45"	1	"DGRP461"
"Batch21_DGRP"	"M46"	1	"DGRP505"
"Batch21_DGRP"	"M47"	1	"DGRP491"
"Batch21_DGRP"	"M48"	1	"DGRP509"
"Batch21_DGRP"	"M49"	1	"DGRP528"
"Batch21_DGRP"	"M50"	1	"DGRP535"
"Batch21_DGRP"	"M51"	1	"DGRP551"
"Batch22_DGRP"	"M37"	1	"CS"
"Batch22_DGRP"	"M38"	1	"DGRP559"
"Batch22_DGRP"	"M39"	1	"DGRP563"
"Batch22_DGRP"	"M40"	1	"DGRP566"
"Batch22_DGRP"	"M41"	1	"DGRP584"
"Batch22_DGRP"	"M42"	1	"DGRP627"
"Batch22_DGRP"	"M52"	1	"DGRP630"
"Batch22_DGRP"	"M53"	1	"DGRP707"
"Batch22_DGRP"	"M54"	1	"DGRP721"
"Batch22_DGRP"	"M55"	1	"DGRP748"
"Batch22_DGRP"	"M58"	1	"DGRP757"
"Batch22_DGRP"	"M59"	1	"DGRP776"
"Batch22_DGRP"	"M60"	1	"DGRP783"
"Batch23_DGRP"	"M45"	1	"DGRP73"
"Batch23_DGRP"	"M46"	1	"DGRP161"
"Batch23_DGRP"	"M47"	1	"DGRP761"
"Batch23_DGRP"	"M48"	1	"DGRP801"
"Batch23_DGRP"	"M49"	1	"DGRP805"
"Batch23_DGRP"	"M50"	1	"DGRP818"
"Batch23_DGRP"	"M51"	1	"DGRP819"
"Batch23_DGRP"	"M52"	1	"CS"
"Batch24_DGRP"	"M37"	1	"CS"
"Batch24_DGRP"	"M38"	1	"DGRP69"
"Batch24_DGRP"	"M39"	1	"DGRP181"
"Batch24_DGRP"	"M40"	1	"DGRP195"
"Batch24_DGRP"	"M41"	1	"DGRP336"
"Batch24_DGRP"	"M42"	1	"DGRP812"
"Batch24_DGRP"	"M44"	1	"DGRP850"
"Batch24_DGRP"	"M53"	1	"DGRP855"
"Batch24_DGRP"	"M54"	1	"DGRP857"
"Batch24_DGRP"	"M55"	1	"DGRP861"
"Batch24_DGRP"	"M58"	1	"DGRP879"
"Batch24_DGRP"	"M59"	1	"DGRP900"
"Batch25_DGRP"	"M39"	1	"CS"
"Batch25_DGRP"	"M40"	1	"DGRP382"
"Batch25_DGRP"	"M41"	1	"DGRP391"
"Batch25_DGRP"	"M42"	1	"DGRP508"
"Batch25_DGRP"	"M44"	1	"DGRP513"
"Batch25_DGRP"	"M48"	1	"DGRP589"
"Batch25_DGRP"	"M49"	1	"DGRP765"
"Batch25_DGRP"	"M53"	1	"DGRP802"
"Batch25_DGRP"	"M55"	1	"DGRP810"
"Batch25_DGRP"	"M58"	1	"DGRP821"
"Batch25_DGRP"	"M59"	1	"DGRP911"
"Batch26_DGRP"	"M31"	1	"CS"
"Batch26_DGRP"	"M32"	1	"DGRP26"
"Batch26_DGRP"	"M33"	1	"DGRP83"
"Batch26_DGRP"	"M34"	1	"DGRP189"
"Batch26_DGRP"	"M35"	1	"DGRP195"
"Batch26_DGRP"	"M36"	1	"DGRP235"
