Batch,file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Batch4a_DGRP,Monitor12.txt,1,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,2,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,3,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,4,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,5,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,6,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,7,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,8,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,9,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,10,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,11,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,12,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,13,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,14,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,15,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,16,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
Batch4a_DGRP,Monitor12.txt,17,OK,2025-07-25 10:00:00,2025-08-01 11:59:00,M,DGRP705,21.5C,Winter,NA,08:12,M12
