Genotype	day	phase	value	n_batches
"DGRP303"	1	"Night sleep (ZT8-24)"	840.75	2
"DGRP303"	2	"Night sleep (ZT8-24)"	830.25	2
"DGRP303"	3	"Night sleep (ZT8-24)"	787.25	2
"DGRP303"	4	"Night sleep (ZT8-24)"	788	2
"DGRP303"	5	"Night sleep (ZT8-24)"	807.25	2
"DGRP303"	6	"Night sleep (ZT8-24)"	807.5	2
"DGRP307"	1	"Night sleep (ZT8-24)"	819.75	2
"DGRP307"	2	"Night sleep (ZT8-24)"	809.25	2
"DGRP307"	3	"Night sleep (ZT8-24)"	766	2
"DGRP307"	4	"Night sleep (ZT8-24)"	766.25	2
"DGRP307"	5	"Night sleep (ZT8-24)"	751.75	2
"DGRP307"	6	"Night sleep (ZT8-24)"	757.25	2
"DGRP362"	1	"Night sleep (ZT8-24)"	675.5	2
"DGRP362"	2	"Night sleep (ZT8-24)"	669.75	2
"DGRP362"	3	"Night sleep (ZT8-24)"	659.5	2
"DGRP362"	4	"Night sleep (ZT8-24)"	646.5	2
"DGRP362"	5	"Night sleep (ZT8-24)"	641.25	2
"DGRP362"	6	"Night sleep (ZT8-24)"	651.25	2
"DGRP313"	1	"Night sleep (ZT8-24)"	742.5	2
"DGRP313"	2	"Night sleep (ZT8-24)"	744.5	2
"DGRP313"	3	"Night sleep (ZT8-24)"	746	2
"DGRP313"	4	"Night sleep (ZT8-24)"	740.5	2
"DGRP313"	5	"Night sleep (ZT8-24)"	768	2
"DGRP313"	6	"Night sleep (ZT8-24)"	797	2
"DGRP358"	1	"Night sleep (ZT8-24)"	566.75	2
"DGRP358"	2	"Night sleep (ZT8-24)"	550.25	2
"DGRP358"	3	"Night sleep (ZT8-24)"	556.5	2
"DGRP358"	4	"Night sleep (ZT8-24)"	571.25	2
"DGRP358"	5	"Night sleep (ZT8-24)"	596.5	2
"DGRP358"	6	"Night sleep (ZT8-24)"	618	2
"DGRP208"	1	"Night sleep (ZT8-24)"	407.75	2
"DGRP208"	2	"Night sleep (ZT8-24)"	353	2
"DGRP208"	3	"Night sleep (ZT8-24)"	308.5	2
"DGRP208"	4	"Night sleep (ZT8-24)"	297.5	2
"DGRP208"	5	"Night sleep (ZT8-24)"	302	2
"DGRP208"	6	"Night sleep (ZT8-24)"	268.5	2
"DGRP304"	1	"Night sleep (ZT8-24)"	661.5	2
"DGRP304"	2	"Night sleep (ZT8-24)"	644	2
