Batch	Genotype	day	value	n_flies	phase
"Batch1_DGRP"	"DGRP303"	1	854	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP303"	2	854.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP303"	3	779.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP303"	4	765.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP303"	5	797.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP303"	6	804.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	1	844.5	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	2	820.5	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	3	780	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	4	767.5	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	5	725.5	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP307"	6	752.5	24	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	1	701	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	2	695	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	3	666	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	4	635	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	5	622	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP362"	6	650	29	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	1	829	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	2	813	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	3	814	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	4	791	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	5	802	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP313"	6	816	31	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	1	612.5	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	2	622.5	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	3	621	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	4	651.5	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	5	638	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP358"	6	667	22	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	1	386	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	2	348.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	3	311.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	4	317	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	5	360.5	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP208"	6	334	28	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	1	671	27	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	2	658	27	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	3	631	27	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	4	616	27	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	5	608	27	"Night sleep (ZT8-24)"
"Batch1_DGRP"	"DGRP304"	6	630	27	"Night sleep (ZT8-24)"
