day	phase	median	q25	q75	n_lines
1	"Night sleep (ZT8-24)"	614	520.6875	705.5	176
2	"Night sleep (ZT8-24)"	599.5	492.125	701.5	176
3	"Night sleep (ZT8-24)"	588.75	477	691.875	176
4	"Night sleep (ZT8-24)"	570.625	444.1875	682.625	176
5	"Night sleep (ZT8-24)"	560.75	417.125	690.5	176
6	"Night sleep (ZT8-24)"	574.125	446.875	700.25	176
1	"Day sleep (ZT0-8)"	325	272	374.5	169
2	"Day sleep (ZT0-8)"	327	275	372.25	169
3	"Day sleep (ZT0-8)"	310.25	241	363.5	169
4	"Day sleep (ZT0-8)"	296	218	344.5	169
5	"Day sleep (ZT0-8)"	284	218.5	339	169
6	"Day sleep (ZT0-8)"	278.215727209464	211	331	169
