Genotype	value	n_batches	total_flies	phenotype	phase
"DGRP100"	-17.8123678350775	1	28	"LightSleep__D6_D1"	"Day sleep"
"DGRP101"	-48.1559494720839	1	27	"LightSleep__D6_D1"	"Day sleep"
"DGRP105"	35.5013971919503	1	20	"LightSleep__D6_D1"	"Day sleep"
"DGRP109"	-67.8123678350776	1	30	"LightSleep__D6_D1"	"Day sleep"
"DGRP129"	17.1876321649225	1	29	"LightSleep__D6_D1"	"Day sleep"
"DGRP136"	-58.1332647488015	1	22	"LightSleep__D6_D1"	"Day sleep"
"DGRP142"	-100.812367835078	1	30	"LightSleep__D6_D1"	"Day sleep"
"DGRP149"	135.187632164922	1	29	"LightSleep__D6_D1"	"Day sleep"
"DGRP161"	36.4297647413268	2	35	"LightSleep__D6_D1"	"Day sleep"
"DGRP181"	-106.16733572855	2	43	"LightSleep__D6_D1"	"Day sleep"
"DGRP189"	-84.4088901480563	2	39	"LightSleep__D6_D1"	"Day sleep"
"DGRP195"	-50.6960764191703	2	33	"LightSleep__D6_D1"	"Day sleep"
"DGRP208"	-143.149474790174	2	54	"LightSleep__D6_D1"	"Day sleep"
"DGRP217"	-101.515314144584	2	41	"LightSleep__D6_D1"	"Day sleep"
"DGRP228"	-67.6270341660714	1	23	"LightSleep__D6_D1"	"Day sleep"
"DGRP229"	-48.8123678350775	1	30	"LightSleep__D6_D1"	"Day sleep"
"DGRP235"	13.9268813883375	2	28	"LightSleep__D6_D1"	"Day sleep"
"DGRP239"	-12.6606799979471	2	44	"LightSleep__D6_D1"	"Day sleep"
"DGRP26"	9.59836431359874	2	39	"LightSleep__D6_D1"	"Day sleep"
"DGRP287"	-52.1270341660715	1	24	"LightSleep__D6_D1"	"Day sleep"
"DGRP301"	-5.22704465124085	1	23	"LightSleep__D6_D1"	"Day sleep"
"DGRP303"	-21.6705677867185	2	42	"LightSleep__D6_D1"	"Day sleep"
"DGRP304"	-18.6705677867194	2	48	"LightSleep__D6_D1"	"Day sleep"
"DGRP307"	-93.9205677867186	2	51	"LightSleep__D6_D1"	"Day sleep"
"DGRP309"	-109.018562281785	2	40	"LightSleep__D6_D1"	"Day sleep"
"DGRP31"	-26.655949472084	1	24	"LightSleep__D6_D1"	"Day sleep"
"DGRP310"	-103.261447365216	2	49	"LightSleep__D6_D1"	"Day sleep"
"DGRP313"	17.8294322132812	2	58	"LightSleep__D6_D1"	"Day sleep"
"DGRP317"	-63.84637843353	1	25	"LightSleep__D6_D1"	"Day sleep"
"DGRP318"	-91.6559494720841	1	24	"LightSleep__D6_D1"	"Day sleep"
"DGRP319"	-3.01537224146288	3	44	"LightSleep__D6_D1"	"Day sleep"
"DGRP32"	-135.112525242761	1	29	"LightSleep__D6_D1"	"Day sleep"
"DGRP320"	-5.01856228178549	2	31	"LightSleep__D6_D1"	"Day sleep"
