Genotype	Batch1	Batch2	x	y	phenotype
"DGRP161"	"Batch10_DGRP"	"Batch23_DGRP"	16	13.5	"LightSleep__D6_D1"
"DGRP181"	"Batch24_DGRP"	"Batch8_DGRP"	-77	-119	"LightSleep__D6_D1"
"DGRP189"	"Batch16_DGRP"	"Batch26_DGRP"	-53	-68	"LightSleep__D6_D1"
"DGRP195"	"Batch24_DGRP"	"Batch26_DGRP"	-41	-51	"LightSleep__D6_D1"
"DGRP208"	"Batch11_DGRP"	"Batch1_DGRP"	-69.5	-200.5	"LightSleep__D6_D1"
"DGRP217"	"Batch31_DGRP"	"Batch8_DGRP"	-133	-78.5	"LightSleep__D6_D1"
"DGRP235"	"Batch11_DGRP"	"Batch26_DGRP"	25	46	"LightSleep__D6_D1"
"DGRP239"	"Batch15_DGRP"	"Batch29_DGRP"	18	-33	"LightSleep__D6_D1"
"DGRP26"	"Batch14_DGRP"	"Batch26_DGRP"	-12	8.5	"LightSleep__D6_D1"
"DGRP303"	"Batch12_DGRP"	"Batch1_DGRP"	2	-88	"LightSleep__D6_D1"
"DGRP304"	"Batch12_DGRP"	"Batch1_DGRP"	-63	-17	"LightSleep__D6_D1"
"DGRP307"	"Batch12_DGRP"	"Batch1_DGRP"	-99	-131.5	"LightSleep__D6_D1"
"DGRP309"	"Batch18_DGRP"	"Batch26_DGRP"	-130	-70	"LightSleep__D6_D1"
"DGRP310"	"Batch5b_DGRP"	"Batch9_DGRP"	-110	-85	"LightSleep__D6_D1"
"DGRP313"	"Batch12_DGRP"	"Batch1_DGRP"	-17	10	"LightSleep__D6_D1"
"DGRP319"	"Batch18_DGRP"	"Batch26_DGRP"	-10.5	6	"LightSleep__D6_D1"
"DGRP319"	"Batch18_DGRP"	"Batch29_DGRP"	-10.5	16	"LightSleep__D6_D1"
"DGRP319"	"Batch26_DGRP"	"Batch29_DGRP"	6	16	"LightSleep__D6_D1"
"DGRP320"	"Batch18_DGRP"	"Batch26_DGRP"	-25	33	"LightSleep__D6_D1"
"DGRP321"	"Batch18_DGRP"	"Batch29_DGRP"	-57	-100.5	"LightSleep__D6_D1"
"DGRP324"	"Batch12_DGRP"	"Batch1_DGRP"	-173.5	-59	"LightSleep__D6_D1"
"DGRP332"	"Batch18_DGRP"	"Batch26_DGRP"	43	13	"LightSleep__D6_D1"
"DGRP335"	"Batch12_DGRP"	"Batch31_DGRP"	7	-1.5	"LightSleep__D6_D1"
"DGRP335"	"Batch12_DGRP"	"Batch6_DGRP"	7	6	"LightSleep__D6_D1"
"DGRP335"	"Batch31_DGRP"	"Batch6_DGRP"	-1.5	6	"LightSleep__D6_D1"
"DGRP336"	"Batch24_DGRP"	"Batch27_DGRP"	0	-38.5	"LightSleep__D6_D1"
"DGRP336"	"Batch24_DGRP"	"Batch29_DGRP"	0	28.5	"LightSleep__D6_D1"
"DGRP336"	"Batch24_DGRP"	"Batch8_DGRP"	0	29	"LightSleep__D6_D1"
"DGRP336"	"Batch27_DGRP"	"Batch29_DGRP"	-38.5	28.5	"LightSleep__D6_D1"
"DGRP336"	"Batch27_DGRP"	"Batch8_DGRP"	-38.5	29	"LightSleep__D6_D1"
"DGRP336"	"Batch29_DGRP"	"Batch8_DGRP"	28.5	29	"LightSleep__D6_D1"
"DGRP338"	"Batch29_DGRP"	"Batch6_DGRP"	-18	-12	"LightSleep__D6_D1"
"DGRP354"	"Batch18_DGRP"	"Batch19_DGRP"	30	-37	"LightSleep__D6_D1"
"DGRP356"	"Batch19_DGRP"	"Batch29_DGRP"	-42	-101	"LightSleep__D6_D1"
"DGRP358"	"Batch12_DGRP"	"Batch1_DGRP"	-27	-55	"LightSleep__D6_D1"
"DGRP360"	"Batch12_DGRP"	"Batch1_DGRP"	-56	-73	"LightSleep__D6_D1"
"DGRP361"	"Batch19_DGRP"	"Batch31_DGRP"	-8	-29	"LightSleep__D6_D1"
"DGRP362"	"Batch12_DGRP"	"Batch1_DGRP"	6	1	"LightSleep__D6_D1"
"DGRP375"	"Batch12_DGRP"	"Batch1_DGRP"	-40.5	10	"LightSleep__D6_D1"
"DGRP380"	"Batch11_DGRP"	"Batch4b_DGRP"	-37	-24	"LightSleep__D6_D1"
"DGRP380"	"Batch11_DGRP"	"Batch4c_DGRP"	-37	1.5	"LightSleep__D6_D1"
"DGRP380"	"Batch4b_DGRP"	"Batch4c_DGRP"	-24	1.5	"LightSleep__D6_D1"
"DGRP382"	"Batch25_DGRP"	"Batch26_DGRP"	-104	-83	"LightSleep__D6_D1"
"DGRP386"	"Batch19_DGRP"	"Batch28_DGRP"	-94.5	-92	"LightSleep__D6_D1"
"DGRP391"	"Batch16_DGRP"	"Batch25_DGRP"	-2	-42	"LightSleep__D6_D1"
"DGRP391"	"Batch16_DGRP"	"Batch26_DGRP"	-2	-66	"LightSleep__D6_D1"
"DGRP391"	"Batch16_DGRP"	"Batch4c_DGRP"	-2	-70	"LightSleep__D6_D1"
"DGRP391"	"Batch25_DGRP"	"Batch26_DGRP"	-42	-66	"LightSleep__D6_D1"
"DGRP391"	"Batch25_DGRP"	"Batch4c_DGRP"	-42	-70	"LightSleep__D6_D1"
"DGRP391"	"Batch26_DGRP"	"Batch4c_DGRP"	-66	-70	"LightSleep__D6_D1"
"DGRP399"	"Batch11_DGRP"	"Batch4b_DGRP"	-99	-128	"LightSleep__D6_D1"
"DGRP40"	"Batch21_DGRP"	"Batch27_DGRP"	9.60125260960302	-92.5	"LightSleep__D6_D1"
"DGRP40"	"Batch21_DGRP"	"Batch8_DGRP"	9.60125260960302	-10	"LightSleep__D6_D1"
"DGRP40"	"Batch27_DGRP"	"Batch8_DGRP"	-92.5	-10	"LightSleep__D6_D1"
"DGRP409"	"Batch28_DGRP"	"Batch8_DGRP"	-25.5	4	"LightSleep__D6_D1"
"DGRP437"	"Batch16_DGRP"	"Batch28_DGRP"	-27	-94	"LightSleep__D6_D1"
"DGRP437"	"Batch16_DGRP"	"Batch4c_DGRP"	-27	-32	"LightSleep__D6_D1"
"DGRP437"	"Batch28_DGRP"	"Batch4c_DGRP"	-94	-32	"LightSleep__D6_D1"
"DGRP441"	"Batch31_DGRP"	"Batch5b_DGRP"	-33	-42	"LightSleep__D6_D1"
"DGRP441"	"Batch31_DGRP"	"Batch7_DGRP"	-33	10	"LightSleep__D6_D1"
"DGRP441"	"Batch5b_DGRP"	"Batch7_DGRP"	-42	10	"LightSleep__D6_D1"
"DGRP486"	"Batch16_DGRP"	"Batch4c_DGRP"	-67.5	-66.5	"LightSleep__D6_D1"
