Genotype	Batch	slot	value	n_flies	signal	zt	nb	n	label
"CS"	"Batch10_DGRP"	0	0.324	30	"moving"	0.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	1	0.266222222222222	30	"moving"	0.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	2	0.270666666666667	30	"moving"	1.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	3	0.285555555555556	30	"moving"	1.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	4	0.283555555555556	30	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	5	0.271555555555556	30	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	6	0.242666666666667	30	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	7	0.250666666666667	30	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	8	0.233111111111111	30	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	9	0.215333333333333	30	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	10	0.208	30	"moving"	5.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	11	0.220666666666667	30	"moving"	5.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	12	0.216666666666667	30	"moving"	6.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	13	0.199333333333333	30	"moving"	6.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	14	0.218444444444444	30	"moving"	7.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	15	0.201555555555556	30	"moving"	7.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	16	0.590444444444445	30	"moving"	8.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	17	0.613777777777778	30	"moving"	8.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	18	0.667111111111111	30	"moving"	9.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	19	0.690222222222222	30	"moving"	9.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	20	0.730444444444444	30	"moving"	10.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	21	0.717555555555556	30	"moving"	10.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	22	0.663555555555556	30	"moving"	11.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	23	0.566666666666667	30	"moving"	11.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	24	0.376	30	"moving"	12.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	25	0.206	30	"moving"	12.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	26	0.110444444444444	30	"moving"	13.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	27	0.0713333333333333	30	"moving"	13.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	28	0.0628888888888889	30	"moving"	14.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	29	0.07	30	"moving"	14.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	30	0.0582222222222222	30	"moving"	15.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	31	0.0577777777777778	30	"moving"	15.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	32	0.0475555555555556	30	"moving"	16.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	33	0.052	30	"moving"	16.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	34	0.0515555555555556	30	"moving"	17.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	35	0.0597777777777778	30	"moving"	17.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	36	0.0784444444444444	30	"moving"	18.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	37	0.0822222222222222	30	"moving"	18.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	38	0.0844444444444445	30	"moving"	19.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	39	0.0868888888888889	30	"moving"	19.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	40	0.100666666666667	30	"moving"	20.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	41	0.107333333333333	30	"moving"	20.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	42	0.118222222222222	30	"moving"	21.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	43	0.161333333333333	30	"moving"	21.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	44	0.224666666666667	30	"moving"	22.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	45	0.321555555555556	30	"moving"	22.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	46	0.431111111111111	30	"moving"	23.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch10_DGRP"	47	0.518444444444445	30	"moving"	23.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	0	0.364367816091954	29	"moving"	0.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	1	0.350574712643678	29	"moving"	0.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	2	0.34	29	"moving"	1.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	3	0.338850574712644	29	"moving"	1.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	4	0.345287356321839	29	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	5	0.331034482758621	29	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	6	0.311494252873563	29	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	7	0.302528735632184	29	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	8	0.271034482758621	29	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch11_DGRP"	9	0.235632183908046	29	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
