Genotype	slot	signal	value	n_batches	total_flies	PC1	rank	zt
"DGRP100"	0	"moving"	0.18047619047619	1	28	-0.491401562462033	28	0.25
"DGRP100"	1	"moving"	0.150952380952381	1	28	-0.491401562462033	28	0.75
"DGRP100"	2	"moving"	0.113571428571429	1	28	-0.491401562462033	28	1.25
"DGRP100"	3	"moving"	0.0990476190476191	1	28	-0.491401562462033	28	1.75
"DGRP100"	4	"moving"	0.0792857142857143	1	28	-0.491401562462033	28	2.25
"DGRP100"	5	"moving"	0.0611904761904762	1	28	-0.491401562462033	28	2.75
"DGRP100"	6	"moving"	0.0642857142857143	1	28	-0.491401562462033	28	3.25
"DGRP100"	7	"moving"	0.0576190476190476	1	28	-0.491401562462033	28	3.75
"DGRP100"	8	"moving"	0.0554761904761905	1	28	-0.491401562462033	28	4.25
"DGRP100"	9	"moving"	0.0666666666666667	1	28	-0.491401562462033	28	4.75
"DGRP100"	10	"moving"	0.0952380952380952	1	28	-0.491401562462033	28	5.25
"DGRP100"	11	"moving"	0.100238095238095	1	28	-0.491401562462033	28	5.75
"DGRP100"	12	"moving"	0.134047619047619	1	28	-0.491401562462033	28	6.25
"DGRP100"	13	"moving"	0.183095238095238	1	28	-0.491401562462033	28	6.75
"DGRP100"	14	"moving"	0.308571428571429	1	28	-0.491401562462033	28	7.25
"DGRP100"	15	"moving"	0.242619047619048	1	28	-0.491401562462033	28	7.75
"DGRP100"	16	"moving"	0.258571428571429	1	28	-0.491401562462033	28	8.25
"DGRP100"	17	"moving"	0.23952380952381	1	28	-0.491401562462033	28	8.75
"DGRP100"	18	"moving"	0.195952380952381	1	28	-0.491401562462033	28	9.25
"DGRP100"	19	"moving"	0.120714285714286	1	28	-0.491401562462033	28	9.75
"DGRP100"	20	"moving"	0.0864285714285714	1	28	-0.491401562462033	28	10.25
"DGRP100"	21	"moving"	0.0626190476190476	1	28	-0.491401562462033	28	10.75
"DGRP100"	22	"moving"	0.0702380952380952	1	28	-0.491401562462033	28	11.25
"DGRP100"	23	"moving"	0.0647619047619048	1	28	-0.491401562462033	28	11.75
"DGRP100"	24	"moving"	0.0640476190476191	1	28	-0.491401562462033	28	12.25
"DGRP100"	25	"moving"	0.0635714285714286	1	28	-0.491401562462033	28	12.75
"DGRP100"	26	"moving"	0.075	1	28	-0.491401562462033	28	13.25
"DGRP100"	27	"moving"	0.0754761904761905	1	28	-0.491401562462033	28	13.75
"DGRP100"	28	"moving"	0.0907142857142857	1	28	-0.491401562462033	28	14.25
"DGRP100"	29	"moving"	0.0876190476190476	1	28	-0.491401562462033	28	14.75
"DGRP100"	30	"moving"	0.085	1	28	-0.491401562462033	28	15.25
"DGRP100"	31	"moving"	0.075952380952381	1	28	-0.491401562462033	28	15.75
"DGRP100"	32	"moving"	0.0866666666666667	1	28	-0.491401562462033	28	16.25
"DGRP100"	33	"moving"	0.112380952380952	1	28	-0.491401562462033	28	16.75
"DGRP100"	34	"moving"	0.114047619047619	1	28	-0.491401562462033	28	17.25
"DGRP100"	35	"moving"	0.114761904761905	1	28	-0.491401562462033	28	17.75
"DGRP100"	36	"moving"	0.152857142857143	1	28	-0.491401562462033	28	18.25
"DGRP100"	37	"moving"	0.17047619047619	1	28	-0.491401562462033	28	18.75
"DGRP100"	38	"moving"	0.17047619047619	1	28	-0.491401562462033	28	19.25
"DGRP100"	39	"moving"	0.223571428571429	1	28	-0.491401562462033	28	19.75
"DGRP100"	40	"moving"	0.295952380952381	1	28	-0.491401562462033	28	20.25
"DGRP100"	41	"moving"	0.363333333333333	1	28	-0.491401562462033	28	20.75
"DGRP100"	42	"moving"	0.395	1	28	-0.491401562462033	28	21.25
"DGRP100"	43	"moving"	0.370952380952381	1	28	-0.491401562462033	28	21.75
"DGRP100"	44	"moving"	0.280476190476191	1	28	-0.491401562462033	28	22.25
"DGRP100"	45	"moving"	0.210952380952381	1	28	-0.491401562462033	28	22.75
"DGRP100"	46	"moving"	0.225	1	28	-0.491401562462033	28	23.25
"DGRP100"	47	"moving"	0.178571428571429	1	28	-0.491401562462033	28	23.75
"DGRP100"	0	"sleep"	0.719285714285714	1	28	-0.491401562462033	28	0.25
"DGRP100"	1	"sleep"	0.776190476190476	1	28	-0.491401562462033	28	0.75
"DGRP100"	2	"sleep"	0.823095238095238	1	28	-0.491401562462033	28	1.25
"DGRP100"	3	"sleep"	0.850238095238095	1	28	-0.491401562462033	28	1.75
"DGRP100"	4	"sleep"	0.877380952380952	1	28	-0.491401562462033	28	2.25
"DGRP100"	5	"sleep"	0.905238095238095	1	28	-0.491401562462033	28	2.75
"DGRP100"	6	"sleep"	0.901666666666667	1	28	-0.491401562462033	28	3.25
"DGRP100"	7	"sleep"	0.91047619047619	1	28	-0.491401562462033	28	3.75
"DGRP100"	8	"sleep"	0.911190476190476	1	28	-0.491401562462033	28	4.25
"DGRP100"	9	"sleep"	0.902619047619048	1	28	-0.491401562462033	28	4.75
"DGRP100"	10	"sleep"	0.86	1	28	-0.491401562462033	28	5.25
"DGRP100"	11	"sleep"	0.847380952380952	1	28	-0.491401562462033	28	5.75
"DGRP100"	12	"sleep"	0.793333333333333	1	28	-0.491401562462033	28	6.25
