trait	rank	n	expected	observed	low	high
"NightSleepChange"	1	1428812	6.45600508468319	6.07182134928915	5.58808118614251	7.7515489911084
"NightSleepChange"	2	1428812	5.97888382996352	5.97437467707233	5.40899247187304	6.7707841977896
"NightSleepChange"	3	1428812	5.75703508034717	5.8782268360166	5.2961568063128	6.36351433175329
"NightSleepChange"	4	1428812	5.61090704466893	5.64392631565173	5.2121114320032	6.11760194399391
"NightSleepChange"	5	1428812	5.50176257524386	5.22473916686395	5.14460870796777	5.94452607560786
"NightSleepChange"	6	1428812	5.41461239952496	4.9484307548449	5.08796732186177	5.81217820573161
"NightSleepChange"	7	1428812	5.34206173237635	4.91868150207229	5.03905047605807	5.70559448437545
"NightSleepChange"	8	1428812	5.2799138256275	4.90138049845513	4.99593038895917	5.61667331889984
"NightSleepChange"	9	1428812	5.22555616330491	4.79050375167376	4.9573321800234	5.54056528441907
"NightSleepChange"	10	1428812	5.17725148373036	4.76270766243254	4.92236633081577	5.47415063480451
"NightSleepChange"	11	1428812	5.13378578994927	4.74979719923697	4.89038622679355	5.41531027647687
"NightSleepChange"	12	1428812	5.09427724866559	4.74941411912225	4.86090633120729	5.36254238705642
"NightSleepChange"	13	1428812	5.05806507601115	4.7300599761111	4.83355233146386	5.31474570309114
"NightSleepChange"	14	1428812	5.0246413205242	4.72077350419444	4.80802929438253	5.27108977484634
"NightSleepChange"	15	1428812	4.99360708678423	4.72077350419444	4.78410051939201	5.23093356160598
"NightSleepChange"	16	1428812	4.96464339084891	4.71867795699143	4.7615730318943	5.19377232715579
"NightSleepChange"	17	1428812	4.9374911448053	4.65497933845789	4.74028735304873	5.15920183710958
"NightSleepChange"	18	1428812	4.91193704033291	4.63627147186091	4.72011011171758	5.12689353050522
"NightSleepChange"	19	1428812	4.88780336061619	4.63105891147175	4.70092859739	5.09657687595495
"NightSleepChange"	20	1428812	4.86494047765669	4.62572468778217	4.68264667046555	5.06802656249515
"NightSleepChange"	21	1428812	4.84322122796345	4.62467847049053	4.6651816418041	5.04105302333312
"NightSleepChange"	22	1428812	4.8225366291036	4.61031130419696	4.6484618573704	5.01549530678885
"NightSleepChange"	23	1428812	4.80279257090784	4.58925818625786	4.63242480437718	4.99121563201153
"NightSleepChange"	24	1428812	4.78390722674747	4.57543685389748	4.61701560893327	4.96809517481626
"NightSleepChange"	25	1428812	4.76580900465467	4.57053034552454	4.60218583159852	4.94603076561509
"NightSleepChange"	26	1428812	4.74843490858525	4.56995075766581	4.58789249242127	4.92493227314267
"NightSleepChange"	27	1428812	4.7317292150824	4.54483981954925	4.57409727474062	4.90472051042184
"NightSleepChange"	28	1428812	4.71564239518894	4.52977479263415	4.56076586968157	4.88532554307219
"NightSleepChange"	29	1428812	4.70013022901069	4.52529870464925	4.54786743243036	4.86668531091841
"NightSleepChange"	30	1428812	4.68515307304104	4.51717784904636	4.53537412809687	4.84874449597357
"NightSleepChange"	31	1428812	4.67067524967242	4.50791881421307	4.52326074995958	4.8314535859386
"NightSleepChange"	32	1428812	4.6566645352296	4.50566309624862	4.51150439663313	4.81476809417196
"NightSleepChange"	33	1428812	4.64309172804033	4.50429890072847	4.50008419753777	4.79864790586659
"NightSleepChange"	34	1428812	4.62993028198236	4.50288643811568	4.48898107822383	4.78305672677114
"NightSleepChange"	35	1428812	4.61715599394593	4.49761658480396	4.47817755878253	4.76796161580023
"NightSleepChange"	36	1428812	4.60474673596411	4.47456385609586	4.46765757988234	4.75333258671202
"NightSleepChange"	37	1428812	4.59268222456273	4.45851436408954	4.45740635199538	4.73914226699294
"NightSleepChange"	38	1428812	4.58094382129149	4.44437238616365	4.44741022418974	4.72536560439363
"NightSleepChange"	39	1428812	4.5695143595107	4.43443669017756	4.43765656950901	4.71197961336818
"NightSleepChange"	40	1428812	4.55837799339274	4.43319966701599	4.42813368447743	4.69896315509654
"NightSleepChange"	41	1428812	4.54752006580454	4.43319966701599	4.41883070068595	4.68629674590496
"NightSleepChange"	42	1428812	4.53692699230711	4.42129891607028	4.40973750675243	4.6739623898084
"NightSleepChange"	43	1428812	4.52658615896889	4.41837228689838	4.40084467922468	4.66194343162948
"NightSleepChange"	44	1428812	4.51648583206457	4.41415590695479	4.39214342122064	4.65022442774122
"NightSleepChange"	45	1428812	4.50661507803827	4.40962412852569	4.38362550778608	4.63879103196214
"NightSleepChange"	46	1428812	4.49696369236209	4.39871047867215	4.37528323710372	4.62762989452687
"NightSleepChange"	47	1428812	4.48752213612925	4.35656015513125	4.36710938681564	4.61672857237929
"NightSleepChange"	48	1428812	4.47828147939434	4.30223640261792	4.35909717482733	4.60607544930273
"NightSleepChange"	49	1428812	4.46923335041694	4.29678946837877	4.35124022405132	4.59565966462421
"NightSleepChange"	50	1428812	4.46036989008564	4.29423033804278	4.34353253062318	4.58547104941395
"NightSleepChange"	51	1428812	4.45168371090054	4.29422435241514	4.3359684351865	4.57550006925685
"NightSleepChange"	52	1428812	4.44316785997801	4.29244685539217	4.32854259689695	4.56573777280166
"NightSleepChange"	53	1428812	4.43481578561325	4.29067321123785	4.32124996984148	4.55617574540389
"NightSleepChange"	54	1428812	4.42662130699798	4.28057341075341	4.31408578160757	4.54680606727022
"NightSleepChange"	55	1428812	4.41857858674256	4.25343818950861	4.30704551377098	4.53762127559151
"NightSleepChange"	56	1428812	4.41068210589653	4.20829461749132	4.30012488409889	4.52861433021763
"NightSleepChange"	57	1428812	4.40292664119977	4.20730161078603	4.29331983029031	4.51977858248511
"NightSleepChange"	58	1428812	4.39530724432957	4.20703709873736	4.28662649509651	4.51110774685711
"NightSleepChange"	59	1428812	4.38781922293702	4.20456631922546	4.28004121268318	4.50259587507736
"NightSleepChange"	60	1428812	4.38045812329065	4.20236827554795	4.27356049611138	4.49423733257601
"NightSleepChange"	61	1428812	4.37321971436674	4.2002260617353	4.26718102582905	4.48602677689644
"NightSleepChange"	62	1428812	4.36609997324379	4.18440897070199	4.26089963907612	4.47795913793948
"NightSleepChange"	63	1428812	4.35909507167513	4.1799674291459	4.2547133201176	4.47002959984458
"NightSleepChange"	64	1428812	4.35220136372723	4.17158954001526	4.24861919122797	4.4622335843483
"NightSleepChange"	65	1428812	4.34541537438394	4.15172156921449	4.24261450435826	4.45456673547828
"NightSleepChange"	66	1428812	4.33873378902742	4.15020972074109	4.23669663342482	4.44702490545632
"NightSleepChange"	67	1428812	4.3321534437161	4.14862361262629	4.23086306716453	4.43960414169803
"NightSleepChange"	68	1428812	4.32567131618818	4.14815971971866	4.22511140250734	4.43230067480853
"NightSleepChange"	69	1428812	4.31928451752678	4.14130763904886	4.21943933842166	4.42511090748414
"NightSleepChange"	70	1428812	4.31299028442909	4.13752037027226	4.21384467019257	4.41803140423951
"NightSleepChange"	71	1428812	4.30678597202781	4.13558445050194	4.20832528409672	4.41105888188763
"NightSleepChange"	72	1428812	4.30066904721812	4.13239994586486	4.20287915244143	4.40419020070777
"NightSleepChange"	73	1428812	4.29463708244821	4.13152484602916	4.19750432893826	4.39742235624254
"NightSleepChange"	74	1428812	4.28868774993501	4.1284031322187	4.19219894438444	4.39075247167126
"NightSleepChange"	75	1428812	4.28281881627091	4.12476910536318	4.18696120262774	4.38417779071178
"NightSleepChange"	76	1428812	4.27702813739002	4.11986981607376	4.18178937679277	4.37769567100751
"NightSleepChange"	77	1428812	4.27131365386559	4.11681228926063	4.1766818057485	4.37130357796052
"NightSleepChange"	78	1428812	4.26567338651289	4.11386192972461	4.17163689079887	4.36499907897517
"NightSleepChange"	79	1428812	4.26010543227395	4.10313221308641	4.16665309257951	4.35877983807985
"NightSleepChange"	80	1428812	4.25460796036273	4.09191568193956	4.16172892814561	4.35264361089766
"NightSleepChange"	81	1428812	4.24917920865134	4.07848259419571	4.15686296823665	4.34658823993911
"NightSleepChange"	82	1428812	4.24381748027923	4.07813724193976	4.15205383470548	4.34061165019262
"NightSleepChange"	83	1428812	4.23852114046928	4.07155856970001	4.14730019809988	4.33471184499035
"NightSleepChange"	84	1428812	4.2332886135356	4.07096086477134	4.14260077538591	4.32888690212919
"NightSleepChange"	85	1428812	4.22811838006951	4.06540964964808	4.13795432780307	4.32313497022821
"NightSleepChange"	86	1428812	4.22300897429103	4.04819928653836	4.13335965884241	4.31745426530554
"NightSleepChange"	87	1428812	4.21795898155439	4.04723612353022	4.12881561233893	4.31184306755902
"NightSleepChange"	88	1428812	4.21296703599689	4.04539187204145	4.12432107067082	4.30629971833623
"NightSleepChange"	89	1428812	4.20803181832138	4.03789975451016	4.11987495305835	4.30082261728087
"NightSleepChange"	90	1428812	4.20315205370329	4.03503786220891	4.11547621395575	4.29541021964307
"NightSleepChange"	91	1428812	4.198326509814	4.02598183188898	4.11112384153022	4.29006103374277
"NightSleepChange"	92	1428812	4.19355399495276	4.02584307221937	4.10681685622233	4.28477361857569
"NightSleepChange"	93	1428812	4.18883335628017	4.02279694563015	4.10255430938257	4.27954658155235
"NightSleepChange"	94	1428812	4.18416347814669	4.0115904411471	4.09833528197952	4.27437857636159
"NightSleepChange"	95	1428812	4.17954328050994	4.0115904411471	4.09415888337479	4.26926830095024
"NightSleepChange"	96	1428812	4.17497171743546	4.0115904411471	4.090024250161	4.26421449561159
"NightSleepChange"	97	1428812	4.17044777567541	3.99287552756457	4.08593054505858	4.25921594117574
"NightSleepChange"	98	1428812	4.16597047332067	3.98181147177094	4.0818769558682	4.25427145729523
"NightSleepChange"	99	1428812	4.16153885852159	3.9745138989589	4.07786269447519	4.24937990082024
"NightSleepChange"	100	1428812	4.15715200827348	3.97163211630294	4.07388699590305	4.24454016425762
"NightSleepChange"	101	1428812	4.1528090272627	3.96853901959101	4.06994911741315	4.23975117430869
"NightSleepChange"	102	1428812	4.14850904676997	3.96495869874397	4.06604833764784	4.23501189048108
"NightSleepChange"	103	1428812	4.14425122362743	3.96495869874397	4.06218395581459	4.23032130377011
"NightSleepChange"	104	1428812	4.14003473922627	3.95387568556339	4.05835529090881	4.22567843540554
"NightSleepChange"	105	1428812	4.13585879857213	3.95209459768221	4.05456168097304	4.22108233566002
"NightSleepChange"	106	1428812	4.13172262938549	3.94884361717438	4.05080248239066	4.21653208271537
"NightSleepChange"	107	1428812	4.12762548124445	3.94868923017587	4.04707706921207	4.21202678158366
"NightSleepChange"	108	1428812	4.12356662476758	3.94388445283441	4.04338483251164	4.20756556307965
"NightSleepChange"	109	1428812	4.11954535083466	3.94214379125811	4.03972517977368	4.20314758284195
"NightSleepChange"	110	1428812	4.11556096984307	3.92601785465777	4.036097534306	4.19877202039996
"NightSleepChange"	111	1428812	4.11161281099807	3.92425236063868	4.0325013346794	4.19443807828424
"NightSleepChange"	112	1428812	4.10770022163502	3.91338749769212	4.02893603419188	4.19014498117765
"NightSleepChange"	113	1428812	4.10382256657182	3.91203766384504	4.02540110035623	4.18589197510536
"NightSleepChange"	114	1428812	4.09997922749006	3.91069554815213	4.02189601440968	4.18167832666133
"NightSleepChange"	115	1428812	4.0961696023433	3.90740917193591	4.01842027084471	4.17750332226952
"NightSleepChange"	116	1428812	4.09239310479104	3.90597982131388	4.01497337695961	4.17336626747782
"NightSleepChange"	117	1428812	4.08864916365717	3.90272186133452	4.01155485242814	4.16926648628315
"NightSleepChange"	118	1428812	4.08493722241145	3.90160550267522	4.00816422888705	4.16520332048586
"NightSleepChange"	119	1428812	4.08125673867308	3.90143933445642	4.00480104954074	4.16117612907223
"NightSleepChange"	120	1428812	4.07760718373505	3.88914440781852	4.00146486878211	4.15718428762328
"NightSleepChange"	121	1428812	4.07398804210832	3.88876101686517	3.99815525182892	4.15322718774886
"NightSleepChange"	122	1428812	4.07039881108487	3.88876101686517	3.99487177437477	4.14930423654552
"NightSleepChange"	123	1428812	4.06683900031865	3.88725427768407	3.99161402225412	4.14541485607707
"NightSleepChange"	124	1428812	4.06330813142352	3.88389723420005	3.98838159112058	4.14155848287673
"NightSleepChange"	125	1428812	4.05980573758745	3.88389723420005	3.98517408613794	4.13773456746967
"NightSleepChange"	126	1428812	4.05633136320215	3.88389723420005	3.98199112168324	4.13394257391515
"NightSleepChange"	127	1428812	4.05288456350737	3.88389723420005	3.97883232106137	4.13018197936711
"NightSleepChange"	128	1428812	4.04946490424923	3.88288786430762	3.9756973162307	4.12645227365244
"NightSleepChange"	129	1428812	4.04607196135189	3.87221188771753	3.97258574753914	4.12275295886603
"NightSleepChange"	130	1428812	4.04270532060193	3.87141981293677	3.96949726347027	4.11908354898188
"NightSleepChange"	131	1428812	4.0393645773449	3.86986894956778	3.96643152039895	4.11544356947941
"NightSleepChange"	132	1428812	4.03604933619343	3.86693716039012	3.96338818235613	4.11183255698433
"NightSleepChange"	133	1428812	4.03275921074638	3.86693716039012	3.96036692080234	4.1082500589234
"NightSleepChange"	134	1428812	4.02949382331861	3.85136033303685	3.95736741440952	4.10469563319243
"NightSleepChange"	135	1428812	4.02625280468078	3.849022632578	3.95438934885079	4.10116884783686
"NightSleepChange"	136	1428812	4.02303579380878	3.8477208309494	3.95143241659793	4.09766928074446
"NightSleepChange"	137	1428812	4.01984243764243	3.84265809180139	3.94849631672603	4.09419651934951
"NightSleepChange"	138	1428812	4.01667239085292	3.83334199316426	3.9455807547252	4.090750160348
"NightSleepChange"	139	1428812	4.01352531561874	3.82796073303996	3.94268544231895	4.08732980942336
"NightSleepChange"	140	1428812	4.01040088140959	3.82695074541755	3.93981009728896	4.08393508098222
"NightSleepChange"	141	1428812	4.00729876477811	3.82618169572655	3.93695444330592	4.08056559789981
"NightSleepChange"	142	1428812	4.00421864915889	3.82385373379366	3.93411820976637	4.07722099127455
"NightSleepChange"	143	1428812	4.00116022467468	3.82297456559483	3.93130113163504	4.07390090019143
"NightSleepChange"	144	1428812	3.99812318794919	3.82223559134945	3.92850294929268	4.07060497149389
"NightSleepChange"	145	1428812	3.99510724192664	3.81758534756545	3.92572340838899	4.06733285956366
"NightSleepChange"	146	1428812	3.99211209569728	3.81677572403037	3.92296225970061	4.06408422610846
"NightSleepChange"	147	1428812	3.98913746432908	3.81677572403037	3.92021925899376	4.06085873995697
"NightSleepChange"	148	1428812	3.98618306870502	3.81363705960527	3.91749416689157	4.05765607686106
"NightSleepChange"	149	1428812	3.98324863536597	3.81100405825798	3.91478674874572	4.05447591930468
"NightSleepChange"	150	1428812	3.98033389635876	3.81041705417699	3.91209677451234	4.05131795631937
"NightSleepChange"	151	1428812	3.97743858908934	3.80902993804757	3.90942401863197	4.04818188330603
"NightSleepChange"	152	1428812	3.97456245618088	3.80857693331219	3.90676825991338	4.04506740186267
"NightSleepChange"	153	1428812	3.9717052453364	3.80722074735084	3.90412928142114	4.04197421961792
"NightSleepChange"	154	1428812	3.968866709206	3.79997895360885	3.90150687036686	4.03890205007015
"NightSleepChange"	155	1428812	3.96604660525835	3.79545678651574	3.8989008180038	4.03585061243184
"NightSleepChange"	156	1428812	3.96324469565635	3.79545678651574	3.89631091952483	4.03281963147908
"NightSleepChange"	157	1428812	3.96046074713674	3.79374366580342	3.89373697396368	4.02980883740602
"NightSleepChange"	158	1428812	3.95769453089358	3.78652740135259	3.89117878409914	4.02681796568397
"NightSleepChange"	159	1428812	3.95494582246543	3.78417216052562	3.88863615636238	4.02384675692511
"NightSleepChange"	160	1428812	3.952214401626	3.77994685630361	3.88610890074696	4.02089495675052
"NightSleepChange"	161	1428812	3.94950005227831	3.77926708224953	3.88359683072177	4.01796231566241
"NightSleepChange"	162	1428812	3.94680256235208	3.77646512224617	3.88109976314648	4.01504858892043
"NightSleepChange"	163	1428812	3.94412172370431	3.77646512224617	3.87861751818965	4.0121535364218
"NightSleepChange"	164	1428812	3.9414573320229	3.77646512224617	3.87614991924922	4.00927692258526
"NightSleepChange"	165	1428812	3.93880918673321	3.77631978906096	3.87369679287547	4.00641851623854
"NightSleepChange"	166	1428812	3.93617709090747	3.77604482718799	3.87125796869617	4.00357809050937
"NightSleepChange"	167	1428812	3.93356085117687	3.76968905290129	3.86883327934404	4.0007554227198
"NightSleepChange"	168	1428812	3.93096027764634	3.76936207392176	3.86642256038623	3.99795029428373
"NightSleepChange"	169	1428812	3.92837518381185	3.76910168868455	3.86402565025599	3.99516249060756
"NightSleepChange"	170	1428812	3.9258053864801	3.76910168868455	3.86164239018618	3.99239180099382
"NightSleepChange"	171	1428812	3.92325070569069	3.76792679290145	3.85927262414486	3.98963801854774
"NightSleepChange"	172	1428812	3.92071096464041	3.76623249600912	3.85691619877256	3.98690094008647
"NightSleepChange"	173	1428812	3.91818598960991	3.76392650219183	3.85457296332144	3.98418036605113
"NightSleepChange"	174	1428812	3.91567560989231	3.76392650219183	3.85224276959622	3.98147610042137
"NightSleepChange"	175	1428812	3.91317965772401	3.76388867682402	3.8499254718966	3.97878795063242
"NightSleepChange"	176	1428812	3.91069796821736	3.76287366656856	3.8476209269615	3.9761157274946
"NightSleepChange"	177	1428812	3.90823037929536	3.76287366656856	3.84532899391472	3.97345924511508
"NightSleepChange"	178	1428812	3.90577673162809	3.76287366656856	3.84304953421214	3.97081832082201
"NightSleepChange"	179	1428812	3.90333686857099	3.76242861667626	3.84078241159043	3.96819277509068
"NightSleepChange"	180	1428812	3.90091063610487	3.76242861667626	3.83852749201703	3.96558243147186
"NightSleepChange"	181	1428812	3.89849788277753	3.76220751855799	3.8362846436417	3.96298711652216
"NightSleepChange"	182	1428812	3.89609845964707	3.75978034152941	3.83405373674916	3.96040665973633
"NightSleepChange"	183	1428812	3.89371222022671	3.75852574180729	3.83183464371318	3.95784089348142
"NightSleepChange"	184	1428812	3.8913390204311	3.75600012426567	3.82962723895183	3.95528965293287
