Batch	Genotype	slot	value	n_flies	signal	zt
"Batch10_DGRP"	"CS"	0	0.324	30	"Moving"	0.25
"Batch10_DGRP"	"CS"	1	0.266222222222222	30	"Moving"	0.75
"Batch10_DGRP"	"CS"	2	0.270666666666667	30	"Moving"	1.25
"Batch10_DGRP"	"CS"	3	0.285555555555556	30	"Moving"	1.75
"Batch10_DGRP"	"CS"	4	0.283555555555556	30	"Moving"	2.25
"Batch10_DGRP"	"CS"	5	0.271555555555556	30	"Moving"	2.75
"Batch10_DGRP"	"CS"	6	0.242666666666667	30	"Moving"	3.25
"Batch10_DGRP"	"CS"	7	0.250666666666667	30	"Moving"	3.75
"Batch10_DGRP"	"CS"	8	0.233111111111111	30	"Moving"	4.25
"Batch10_DGRP"	"CS"	9	0.215333333333333	30	"Moving"	4.75
"Batch10_DGRP"	"CS"	10	0.208	30	"Moving"	5.25
"Batch10_DGRP"	"CS"	11	0.220666666666667	30	"Moving"	5.75
"Batch10_DGRP"	"CS"	12	0.216666666666667	30	"Moving"	6.25
"Batch10_DGRP"	"CS"	13	0.199333333333333	30	"Moving"	6.75
"Batch10_DGRP"	"CS"	14	0.218444444444444	30	"Moving"	7.25
"Batch10_DGRP"	"CS"	15	0.201555555555556	30	"Moving"	7.75
"Batch10_DGRP"	"CS"	16	0.590444444444445	30	"Moving"	8.25
"Batch10_DGRP"	"CS"	17	0.613777777777778	30	"Moving"	8.75
"Batch10_DGRP"	"CS"	18	0.667111111111111	30	"Moving"	9.25
"Batch10_DGRP"	"CS"	19	0.690222222222222	30	"Moving"	9.75
"Batch10_DGRP"	"CS"	20	0.730444444444444	30	"Moving"	10.25
"Batch10_DGRP"	"CS"	21	0.717555555555556	30	"Moving"	10.75
"Batch10_DGRP"	"CS"	22	0.663555555555556	30	"Moving"	11.25
"Batch10_DGRP"	"CS"	23	0.566666666666667	30	"Moving"	11.75
"Batch10_DGRP"	"CS"	24	0.376	30	"Moving"	12.25
"Batch10_DGRP"	"CS"	25	0.206	30	"Moving"	12.75
"Batch10_DGRP"	"CS"	26	0.110444444444444	30	"Moving"	13.25
"Batch10_DGRP"	"CS"	27	0.0713333333333333	30	"Moving"	13.75
"Batch10_DGRP"	"CS"	28	0.0628888888888889	30	"Moving"	14.25
"Batch10_DGRP"	"CS"	29	0.07	30	"Moving"	14.75
"Batch10_DGRP"	"CS"	30	0.0582222222222222	30	"Moving"	15.25
"Batch10_DGRP"	"CS"	31	0.0577777777777778	30	"Moving"	15.75
"Batch10_DGRP"	"CS"	32	0.0475555555555556	30	"Moving"	16.25
"Batch10_DGRP"	"CS"	33	0.052	30	"Moving"	16.75
"Batch10_DGRP"	"CS"	34	0.0515555555555556	30	"Moving"	17.25
"Batch10_DGRP"	"CS"	35	0.0597777777777778	30	"Moving"	17.75
"Batch10_DGRP"	"CS"	36	0.0784444444444444	30	"Moving"	18.25
"Batch10_DGRP"	"CS"	37	0.0822222222222222	30	"Moving"	18.75
"Batch10_DGRP"	"CS"	38	0.0844444444444445	30	"Moving"	19.25
"Batch10_DGRP"	"CS"	39	0.0868888888888889	30	"Moving"	19.75
"Batch10_DGRP"	"CS"	40	0.100666666666667	30	"Moving"	20.25
"Batch10_DGRP"	"CS"	41	0.107333333333333	30	"Moving"	20.75
"Batch10_DGRP"	"CS"	42	0.118222222222222	30	"Moving"	21.25
"Batch10_DGRP"	"CS"	43	0.161333333333333	30	"Moving"	21.75
"Batch10_DGRP"	"CS"	44	0.224666666666667	30	"Moving"	22.25
"Batch10_DGRP"	"CS"	45	0.321555555555556	30	"Moving"	22.75
"Batch10_DGRP"	"CS"	46	0.431111111111111	30	"Moving"	23.25
"Batch10_DGRP"	"CS"	47	0.518444444444445	30	"Moving"	23.75
"Batch11_DGRP"	"CS"	0	0.364367816091954	29	"Moving"	0.25
"Batch11_DGRP"	"CS"	1	0.350574712643678	29	"Moving"	0.75
"Batch11_DGRP"	"CS"	2	0.34	29	"Moving"	1.25
"Batch11_DGRP"	"CS"	3	0.338850574712644	29	"Moving"	1.75
"Batch11_DGRP"	"CS"	4	0.345287356321839	29	"Moving"	2.25
"Batch11_DGRP"	"CS"	5	0.331034482758621	29	"Moving"	2.75
"Batch11_DGRP"	"CS"	6	0.311494252873563	29	"Moving"	3.25
"Batch11_DGRP"	"CS"	7	0.302528735632184	29	"Moving"	3.75
"Batch11_DGRP"	"CS"	8	0.271034482758621	29	"Moving"	4.25
"Batch11_DGRP"	"CS"	9	0.235632183908046	29	"Moving"	4.75
"Batch11_DGRP"	"CS"	10	0.242758620689655	29	"Moving"	5.25
"Batch11_DGRP"	"CS"	11	0.222988505747126	29	"Moving"	5.75
"Batch11_DGRP"	"CS"	12	0.218620689655172	29	"Moving"	6.25
"Batch11_DGRP"	"CS"	13	0.208735632183908	29	"Moving"	6.75
"Batch11_DGRP"	"CS"	14	0.214252873563218	29	"Moving"	7.25
"Batch11_DGRP"	"CS"	15	0.220229885057471	29	"Moving"	7.75
"Batch11_DGRP"	"CS"	16	0.491034482758621	29	"Moving"	8.25
"Batch11_DGRP"	"CS"	17	0.599080459770115	29	"Moving"	8.75
"Batch11_DGRP"	"CS"	18	0.653333333333333	29	"Moving"	9.25
"Batch11_DGRP"	"CS"	19	0.704597701149425	29	"Moving"	9.75
"Batch11_DGRP"	"CS"	20	0.728965517241379	29	"Moving"	10.25
"Batch11_DGRP"	"CS"	21	0.754252873563218	29	"Moving"	10.75
"Batch11_DGRP"	"CS"	22	0.70551724137931	29	"Moving"	11.25
"Batch11_DGRP"	"CS"	23	0.571034482758621	29	"Moving"	11.75
"Batch11_DGRP"	"CS"	24	0.378620689655172	29	"Moving"	12.25
"Batch11_DGRP"	"CS"	25	0.226436781609195	29	"Moving"	12.75
"Batch11_DGRP"	"CS"	26	0.142528735632184	29	"Moving"	13.25
"Batch11_DGRP"	"CS"	27	0.105057471264368	29	"Moving"	13.75
"Batch11_DGRP"	"CS"	28	0.0818390804597701	29	"Moving"	14.25
"Batch11_DGRP"	"CS"	29	0.0772413793103448	29	"Moving"	14.75
"Batch11_DGRP"	"CS"	30	0.0786206896551724	29	"Moving"	15.25
"Batch11_DGRP"	"CS"	31	0.08	29	"Moving"	15.75
"Batch11_DGRP"	"CS"	32	0.0896551724137931	29	"Moving"	16.25
"Batch11_DGRP"	"CS"	33	0.0724137931034483	29	"Moving"	16.75
"Batch11_DGRP"	"CS"	34	0.0779310344827586	29	"Moving"	17.25
"Batch11_DGRP"	"CS"	35	0.0873563218390805	29	"Moving"	17.75
"Batch11_DGRP"	"CS"	36	0.104137931034483	29	"Moving"	18.25
"Batch11_DGRP"	"CS"	37	0.106206896551724	29	"Moving"	18.75
"Batch11_DGRP"	"CS"	38	0.0986206896551724	29	"Moving"	19.25
"Batch11_DGRP"	"CS"	39	0.114252873563218	29	"Moving"	19.75
"Batch11_DGRP"	"CS"	40	0.131494252873563	29	"Moving"	20.25
"Batch11_DGRP"	"CS"	41	0.151494252873563	29	"Moving"	20.75
"Batch11_DGRP"	"CS"	42	0.169655172413793	29	"Moving"	21.25
"Batch11_DGRP"	"CS"	43	0.202528735632184	29	"Moving"	21.75
"Batch11_DGRP"	"CS"	44	0.317931034482759	29	"Moving"	22.25
"Batch11_DGRP"	"CS"	45	0.397471264367816	29	"Moving"	22.75
"Batch11_DGRP"	"CS"	46	0.469195402298851	29	"Moving"	23.25
"Batch11_DGRP"	"CS"	47	0.520919540229885	29	"Moving"	23.75
"Batch12_DGRP"	"CS"	0	0.254666666666667	30	"Moving"	0.25
"Batch12_DGRP"	"CS"	1	0.154888888888889	30	"Moving"	0.75
"Batch12_DGRP"	"CS"	2	0.173111111111111	30	"Moving"	1.25
"Batch12_DGRP"	"CS"	3	0.196	30	"Moving"	1.75
"Batch12_DGRP"	"CS"	4	0.183333333333333	30	"Moving"	2.25
"Batch12_DGRP"	"CS"	5	0.183333333333333	30	"Moving"	2.75
"Batch12_DGRP"	"CS"	6	0.203333333333333	30	"Moving"	3.25
"Batch12_DGRP"	"CS"	7	0.182222222222222	30	"Moving"	3.75
"Batch12_DGRP"	"CS"	8	0.187111111111111	30	"Moving"	4.25
"Batch12_DGRP"	"CS"	9	0.174888888888889	30	"Moving"	4.75
"Batch12_DGRP"	"CS"	10	0.171111111111111	30	"Moving"	5.25
"Batch12_DGRP"	"CS"	11	0.172	30	"Moving"	5.75
"Batch12_DGRP"	"CS"	12	0.159333333333333	30	"Moving"	6.25
"Batch12_DGRP"	"CS"	13	0.190666666666667	30	"Moving"	6.75
"Batch12_DGRP"	"CS"	14	0.186	30	"Moving"	7.25
"Batch12_DGRP"	"CS"	15	0.204222222222222	30	"Moving"	7.75
"Batch12_DGRP"	"CS"	16	0.654222222222222	30	"Moving"	8.25
"Batch12_DGRP"	"CS"	17	0.682	30	"Moving"	8.75
"Batch12_DGRP"	"CS"	18	0.606666666666667	30	"Moving"	9.25
"Batch12_DGRP"	"CS"	19	0.597333333333333	30	"Moving"	9.75
"Batch12_DGRP"	"CS"	20	0.618444444444445	30	"Moving"	10.25
"Batch12_DGRP"	"CS"	21	0.613333333333333	30	"Moving"	10.75
"Batch12_DGRP"	"CS"	22	0.582	30	"Moving"	11.25
"Batch12_DGRP"	"CS"	23	0.503555555555556	30	"Moving"	11.75
"Batch12_DGRP"	"CS"	24	0.403777777777778	30	"Moving"	12.25
"Batch12_DGRP"	"CS"	25	0.288222222222222	30	"Moving"	12.75
"Batch12_DGRP"	"CS"	26	0.195777777777778	30	"Moving"	13.25
"Batch12_DGRP"	"CS"	27	0.143555555555556	30	"Moving"	13.75
"Batch12_DGRP"	"CS"	28	0.12	30	"Moving"	14.25
"Batch12_DGRP"	"CS"	29	0.108222222222222	30	"Moving"	14.75
"Batch12_DGRP"	"CS"	30	0.101777777777778	30	"Moving"	15.25
"Batch12_DGRP"	"CS"	31	0.108888888888889	30	"Moving"	15.75
"Batch12_DGRP"	"CS"	32	0.104	30	"Moving"	16.25
"Batch12_DGRP"	"CS"	33	0.110444444444444	30	"Moving"	16.75
"Batch12_DGRP"	"CS"	34	0.102222222222222	30	"Moving"	17.25
"Batch12_DGRP"	"CS"	35	0.108444444444444	30	"Moving"	17.75
"Batch12_DGRP"	"CS"	36	0.126222222222222	30	"Moving"	18.25
"Batch12_DGRP"	"CS"	37	0.128444444444444	30	"Moving"	18.75
"Batch12_DGRP"	"CS"	38	0.142222222222222	30	"Moving"	19.25
"Batch12_DGRP"	"CS"	39	0.186888888888889	30	"Moving"	19.75
"Batch12_DGRP"	"CS"	40	0.191555555555556	30	"Moving"	20.25
"Batch12_DGRP"	"CS"	41	0.189111111111111	30	"Moving"	20.75
"Batch12_DGRP"	"CS"	42	0.237555555555556	30	"Moving"	21.25
"Batch12_DGRP"	"CS"	43	0.293111111111111	30	"Moving"	21.75
"Batch12_DGRP"	"CS"	44	0.326222222222222	30	"Moving"	22.25
"Batch12_DGRP"	"CS"	45	0.375777777777778	30	"Moving"	22.75
"Batch12_DGRP"	"CS"	46	0.460888888888889	30	"Moving"	23.25
"Batch12_DGRP"	"CS"	47	0.480888888888889	30	"Moving"	23.75
"Batch13_DGRP"	"CS"	0	0.315208333333333	32	"Moving"	0.25
"Batch13_DGRP"	"CS"	1	0.321666666666667	32	"Moving"	0.75
"Batch13_DGRP"	"CS"	2	0.343333333333333	32	"Moving"	1.25
"Batch13_DGRP"	"CS"	3	0.336875	32	"Moving"	1.75
"Batch13_DGRP"	"CS"	4	0.312708333333333	32	"Moving"	2.25
"Batch13_DGRP"	"CS"	5	0.285416666666667	32	"Moving"	2.75
"Batch13_DGRP"	"CS"	6	0.27625	32	"Moving"	3.25
"Batch13_DGRP"	"CS"	7	0.274791666666667	32	"Moving"	3.75
"Batch13_DGRP"	"CS"	8	0.2825	32	"Moving"	4.25
"Batch13_DGRP"	"CS"	9	0.270625	32	"Moving"	4.75
"Batch13_DGRP"	"CS"	10	0.228541666666667	32	"Moving"	5.25
"Batch13_DGRP"	"CS"	11	0.247916666666667	32	"Moving"	5.75
"Batch13_DGRP"	"CS"	12	0.254375	32	"Moving"	6.25
"Batch13_DGRP"	"CS"	13	0.226041666666667	32	"Moving"	6.75
"Batch13_DGRP"	"CS"	14	0.551458333333333	32	"Moving"	7.25
"Batch13_DGRP"	"CS"	15	0.55875	32	"Moving"	7.75
"Batch13_DGRP"	"CS"	16	0.689166666666667	32	"Moving"	8.25
"Batch13_DGRP"	"CS"	17	0.72625	32	"Moving"	8.75
"Batch13_DGRP"	"CS"	18	0.757708333333333	32	"Moving"	9.25
"Batch13_DGRP"	"CS"	19	0.745833333333333	32	"Moving"	9.75
"Batch13_DGRP"	"CS"	20	0.742708333333333	32	"Moving"	10.25
"Batch13_DGRP"	"CS"	21	0.677916666666667	32	"Moving"	10.75
"Batch13_DGRP"	"CS"	22	0.56875	32	"Moving"	11.25
"Batch13_DGRP"	"CS"	23	0.434166666666667	32	"Moving"	11.75
"Batch13_DGRP"	"CS"	24	0.342708333333333	32	"Moving"	12.25
"Batch13_DGRP"	"CS"	25	0.266458333333333	32	"Moving"	12.75
"Batch13_DGRP"	"CS"	26	0.187708333333333	32	"Moving"	13.25
"Batch13_DGRP"	"CS"	27	0.169583333333333	32	"Moving"	13.75
"Batch13_DGRP"	"CS"	28	0.164375	32	"Moving"	14.25
"Batch13_DGRP"	"CS"	29	0.168541666666667	32	"Moving"	14.75
"Batch13_DGRP"	"CS"	30	0.183333333333333	32	"Moving"	15.25
"Batch13_DGRP"	"CS"	31	0.184791666666667	32	"Moving"	15.75
"Batch13_DGRP"	"CS"	32	0.185	32	"Moving"	16.25
"Batch13_DGRP"	"CS"	33	0.20125	32	"Moving"	16.75
"Batch13_DGRP"	"CS"	34	0.188541666666667	32	"Moving"	17.25
"Batch13_DGRP"	"CS"	35	0.205	32	"Moving"	17.75
"Batch13_DGRP"	"CS"	36	0.225208333333333	32	"Moving"	18.25
"Batch13_DGRP"	"CS"	37	0.235	32	"Moving"	18.75
"Batch13_DGRP"	"CS"	38	0.256875	32	"Moving"	19.25
"Batch13_DGRP"	"CS"	39	0.286875	32	"Moving"	19.75
"Batch13_DGRP"	"CS"	40	0.296041666666667	32	"Moving"	20.25
"Batch13_DGRP"	"CS"	41	0.342916666666667	32	"Moving"	20.75
"Batch13_DGRP"	"CS"	42	0.4325	32	"Moving"	21.25
"Batch13_DGRP"	"CS"	43	0.529375	32	"Moving"	21.75
"Batch13_DGRP"	"CS"	44	0.61375	32	"Moving"	22.25
"Batch13_DGRP"	"CS"	45	0.615625	32	"Moving"	22.75
"Batch13_DGRP"	"CS"	46	0.357916666666667	32	"Moving"	23.25
"Batch13_DGRP"	"CS"	47	0.302708333333333	32	"Moving"	23.75
"Batch14_DGRP"	"CS"	0	0.131666666666667	12	"Moving"	0.25
"Batch14_DGRP"	"CS"	1	0.145555555555556	12	"Moving"	0.75
"Batch14_DGRP"	"CS"	2	0.136111111111111	12	"Moving"	1.25
"Batch14_DGRP"	"CS"	3	0.141111111111111	12	"Moving"	1.75
"Batch14_DGRP"	"CS"	4	0.112777777777778	12	"Moving"	2.25
"Batch14_DGRP"	"CS"	5	0.103333333333333	12	"Moving"	2.75
"Batch14_DGRP"	"CS"	6	0.115555555555556	12	"Moving"	3.25
"Batch14_DGRP"	"CS"	7	0.113888888888889	12	"Moving"	3.75
"Batch14_DGRP"	"CS"	8	0.0733333333333333	12	"Moving"	4.25
"Batch14_DGRP"	"CS"	9	0.0833333333333333	12	"Moving"	4.75
"Batch14_DGRP"	"CS"	10	0.0777777777777778	12	"Moving"	5.25
"Batch14_DGRP"	"CS"	11	0.07	12	"Moving"	5.75
"Batch14_DGRP"	"CS"	12	0.08	12	"Moving"	6.25
"Batch14_DGRP"	"CS"	13	0.0788888888888889	12	"Moving"	6.75
"Batch14_DGRP"	"CS"	14	0.424444444444444	12	"Moving"	7.25
"Batch14_DGRP"	"CS"	15	0.502222222222222	12	"Moving"	7.75
"Batch14_DGRP"	"CS"	16	0.52	12	"Moving"	8.25
"Batch14_DGRP"	"CS"	17	0.597222222222222	12	"Moving"	8.75
"Batch14_DGRP"	"CS"	18	0.638333333333333	12	"Moving"	9.25
"Batch14_DGRP"	"CS"	19	0.636666666666667	12	"Moving"	9.75
"Batch14_DGRP"	"CS"	20	0.591666666666667	12	"Moving"	10.25
"Batch14_DGRP"	"CS"	21	0.456666666666667	12	"Moving"	10.75
"Batch14_DGRP"	"CS"	22	0.305555555555556	12	"Moving"	11.25
"Batch14_DGRP"	"CS"	23	0.183333333333333	12	"Moving"	11.75
