phenotype	scheme	estimate	common_lines	rho	median_abs_difference	max_abs_difference	rms_difference_over_baseline_sd	sign_discordance	short	rule
"DarkSleep__D6_D1"	"current_simulated"	"batchFE"	176	0.999883337001981	0.0385723650740886	9.34729147566367	0.0113083086703516	0	"Night sleep change"	"Reimplemented QC"
"DarkSleep__D6_D1"	"recovery_aware"	"batchFE"	176	0.99	3.94786788747193	60.0521359805081	0.102562677750851	0.0170454545454545	"Night sleep change"	"Recovery-aware"
"DarkSleep__D6_D1"	"prop005_24h"	"batchFE"	176	0.996099493726612	3.15474927467928	52.4507541436139	0.0761912317516371	0.0113636363636364	"Night sleep change"	"Activity fraction 0.005 / 24 h"
"DarkSleep__D6_D1"	"prop001_24h"	"batchFE"	176	0.995064935064935	3.42482960086942	48.1529208140811	0.0781854871183578	0.0113636363636364	"Night sleep change"	"Activity fraction 0.001 / 24 h"
"DarkSleep__D6_D1"	"zero_24h"	"batchFE"	176	0.993015628439357	4.79778098798258	47.7973081680139	0.0911488885045631	0.0170454545454545	"Night sleep change"	"Zero movement / 24 h"
"DarkSleep__D6_D1"	"prop01_48h"	"batchFE"	176	0.998802553378825	1.30090672012478	52.0408891269536	0.0487789443113439	0.00568181818181818	"Night sleep change"	"Activity fraction 0.01 / 48 h"
"PCA_moving_centered_shape_PC1"	"current_simulated"	"batchFE"	176	0.999966982170372	0.000252764067252553	0.0299960675507193	0.00589059757909877	0	"Moving shape PC1"	"Reimplemented QC"
"PCA_moving_centered_shape_PC1"	"recovery_aware"	"batchFE"	176	0.998153202729474	0.0103585035465268	0.152184735250123	0.0664879386652628	0.0170454545454545	"Moving shape PC1"	"Recovery-aware"
"PCA_moving_centered_shape_PC1"	"prop005_24h"	"batchFE"	176	0.999205370900286	0.00909373271911551	0.0627915041788516	0.0312137484660667	0.00568181818181818	"Moving shape PC1"	"Activity fraction 0.005 / 24 h"
"PCA_moving_centered_shape_PC1"	"prop001_24h"	"batchFE"	176	0.998115782522562	0.011930431898391	0.111405744368705	0.058381419933215	0.0113636363636364	"Moving shape PC1"	"Activity fraction 0.001 / 24 h"
"PCA_moving_centered_shape_PC1"	"zero_24h"	"batchFE"	176	0.997257318952234	0.0139786328089765	0.162426570109741	0.0770626587110349	0.0170454545454545	"Moving shape PC1"	"Zero movement / 24 h"
"PCA_moving_centered_shape_PC1"	"prop01_48h"	"batchFE"	176	0.999656614571869	0.00399899625350249	0.0461541370636855	0.019941105246314	0	"Moving shape PC1"	"Activity fraction 0.01 / 48 h"
"PDozeDark__State_D2_D6"	"current_simulated"	"batchFE"	176	0.999903147699758	6.5582292770372e-05	0.0707805855557626	0.0137181946420961	0	"Night P(Doze)"	"Reimplemented QC"
"PDozeDark__State_D2_D6"	"recovery_aware"	"batchFE"	176	0.977779000660357	0.0146950011013625	0.425542975741389	0.202093824919711	0	"Night P(Doze)"	"Recovery-aware"
"PDozeDark__State_D2_D6"	"prop005_24h"	"batchFE"	176	0.976284393572529	0.0166728368905225	0.425510170830719	0.205845260519444	0	"Night P(Doze)"	"Activity fraction 0.005 / 24 h"
"PDozeDark__State_D2_D6"	"prop001_24h"	"batchFE"	176	0.976106097292538	0.0207221422324468	0.426669226946093	0.206729998003879	0	"Night P(Doze)"	"Activity fraction 0.001 / 24 h"
"PDozeDark__State_D2_D6"	"zero_24h"	"batchFE"	176	0.976141316310808	0.0208541420068461	0.426637048875509	0.206792000286293	0	"Night P(Doze)"	"Zero movement / 24 h"
"PDozeDark__State_D2_D6"	"prop01_48h"	"batchFE"	176	0.97772397094431	0.0167712523906693	0.425285052387609	0.202191801854893	0	"Night P(Doze)"	"Activity fraction 0.01 / 48 h"
"PWakeDark__State_D2_D6"	"current_simulated"	"batchFE"	176	0.999953775038521	0.0002214886202212	0.0816774990901299	0.0109270396436561	0	"Night P(Wake)"	"Reimplemented QC"
"PWakeDark__State_D2_D6"	"recovery_aware"	"batchFE"	176	0.982885758309487	0.0352055223141026	0.557321139733328	0.196087650704527	0	"Night P(Wake)"	"Recovery-aware"
"PWakeDark__State_D2_D6"	"prop005_24h"	"batchFE"	176	0.998360114461809	0.0113850237268287	0.383898967358913	0.0658433370256915	0	"Night P(Wake)"	"Activity fraction 0.005 / 24 h"
