trait	SNP	schemes	original_p	recorded_nominal	all_same_direction	min_effect_ratio	max_effect_ratio	minimum_p	maximum_p	schemes_nominal	largest_log10p_drop	worst_scheme	annotation_label	minor_carriers	primary_neglogp	alternative_low	alternative_high
"LDHarmonicR2"	"2L_14815128"	6	2.04866e-05	FALSE	TRUE	0.971359349935648	0.999360082093973	2.07115e-05	3.86877e-05	0	0.276103023560066	"zero_24h"	"INTRAGENIC|FBtr0304344"	19	4.68853011206057	4.41242708850051	4.68378844682686
"LDHarmonicR2"	"2L_6415893"	6	2.28762e-06	TRUE	TRUE	0.983256215117115	1.00134791947483	2.39923e-06	3.28409e-06	6	0.157031165584162	"prop005_24h"	"SYNONYMOUS_CODING|Tig"	81	5.64061611519773	5.48358494961356	5.61992811679129
"LDHarmonicR2"	"2R_16679757"	6	2.46497e-05	FALSE	TRUE	0.977108007573638	1.01754929453732	1.74303e-05	4.45455e-05	0	0.256992199977832	"zero_24h"	"INTRON|Pgant9"	73	4.60818836195014	4.3511961619723	4.75869513800628
"LDHarmonicR2"	"3R_22770259"	6	1.63828e-05	FALSE	TRUE	0.986091815787837	1.02959269012517	1.15772e-05	2.09814e-05	0	0.107446334003704	"prop005_24h"	"INTRON|Usp12-46; INTRON|CG43093; INTRON|CG7029"	25	4.78561187054706	4.67816553654336	4.93639646406179
"LDHarmonicR2"	"3R_23828086"	6	1.91787e-05	FALSE	TRUE	0.960405114222399	0.998983895509737	1.95878e-05	4.7365e-05	0	0.392638375822244	"recovery_aware"	"INTRON|CG34355"	28	4.71718083418104	4.32454245835879	4.70801433896768
"LDHarmonicR2"	"3R_24776116"	6	1.60719e-06	TRUE	TRUE	0.985011126255786	1.00610819104355	1.58976e-06	2.39118e-06	6	0.172545048025317	"recovery_aware"	"SPLICE_SITE_REGION+INTRON|CG42331"	22	5.79393277844891	5.6213877304236	5.79866843451157
"LDHarmonicR2"	"3R_27476251"	6	1.64172e-06	TRUE	TRUE	0.994094656662768	1.03184130697325	1.13256e-06	2.30753e-06	6	0.147848267015934	"prop001_24h"	"INTERGENIC|unassigned"	61	5.7847009110559	5.63685264403997	5.94593878094545
"LDHarmonicR2"	"X_10661963"	6	1.07261e-05	FALSE	TRUE	0.974524068979056	0.999539077415078	1.08062e-05	2.28654e-05	0	0.328736961595578	"recovery_aware"	"INTRON|X11Lbeta"	19	4.96955815840355	4.64082119680798	4.96632699884637
"LDHarmonicR2"	"X_11292471"	6	1.05141e-05	FALSE	TRUE	0.966896156186542	1.01159182417357	8.11662e-06	2.55973e-05	1	0.386422055106891	"recovery_aware"	"INTRON|CG44422"	86	4.97822789670682	4.59180584159993	5.09062478614652
"LDHarmonicR2"	"X_3550652"	6	1.48788e-05	FALSE	TRUE	0.991545047771175	1.00803627236018	1.25687e-05	2.21507e-05	0	0.172819549175272	"recovery_aware"	"INTRON|DIP-alpha"	43	4.827432093951	4.65461254477573	4.90070963973833
"MovingShapePC1"	"2L_10641389"	6	2.04093e-05	FALSE	TRUE	0.993216338778469	1.00430553448305	1.97428e-05	2.28428e-05	0	0.0489212278149482	"prop01_48h"	"SYNONYMOUS_CODING|CG31872"	24	4.69017189049954	4.6412506626846	4.70459125398074
"MovingShapePC1"	"2L_663591"	6	2.8417e-05	FALSE	TRUE	0.98867766479745	1.01519882727971	2.13078e-05	3.53429e-05	0	0.0947239546304406	"prop001_24h"	"INTRON|ds"	41	4.54642177272158	4.45169781809114	4.67146138825777
"MovingShapePC1"	"2R_12665067"	6	4.39254e-06	TRUE	TRUE	0.98883207238718	1.00303197353914	4.17257e-06	5.35916e-06	6	0.0863809982613075	"recovery_aware"	"UTR_5_PRIME|nemy"	58	5.35728427497776	5.27090327671645	5.37959636876286
"MovingShapePC1"	"2R_16405149"	6	4.89064e-06	TRUE	TRUE	0.998043518619895	1.01669911601316	3.46994e-06	4.96345e-06	6	0.00641795573011184	"prop005_24h"	"INTRON|Sema2b"	68	5.31063430441807	5.30421634868796	5.45967803468872
"MovingShapePC1"	"2R_24313340"	6	1.67624e-05	FALSE	TRUE	0.986750980004688	0.997693025307788	1.7371e-05	2.123e-05	0	0.102613794183464	"recovery_aware"	"DOWNSTREAM|betaTub60D"	40	4.77566380001747	4.673050005834	4.76017517971173
"MovingShapePC1"	"3L_1820086"	6	2.44357e-05	FALSE	TRUE	0.982778007930402	1.00477222960504	2.20188e-05	3.42703e-05	0	0.146893121624835	"recovery_aware"	"INTRON|GV1"	71	4.61197521539239	4.46508209376756	4.65720635328339
"MovingShapePC1"	"3R_19299344"	6	2.23302e-05	FALSE	TRUE	0.983676320187583	0.998932375464591	2.19559e-05	2.85309e-05	0	0.106422858743477	"zero_24h"	"INTERGENIC|unassigned"	79	4.6511073871611	4.54468452841762	4.6584487559168
"MovingShapePC1"	"3R_22569326"	6	1.34316e-05	FALSE	TRUE	0.99654811482529	1.00215650030807	1.26405e-05	1.47495e-05	0	0.0406495484096929	"recovery_aware"	"UPSTREAM|CG33110"	23	4.87187225019188	4.83122270178219	4.89823574702308
"MovingShapePC1"	"3R_27043638"	6	8.79087e-06	TRUE	TRUE	0.981632240285187	0.998567323169755	8.96141e-06	1.33457e-05	2	0.181309500328668	"zero_24h"	"INTRON|RYa-R"	36	5.05596814227525	4.87465864194658	5.0476236524983
"MovingShapePC1"	"X_8318357"	6	1.01135e-06	TRUE	TRUE	0.992752765177343	1.00000816589839	1.0288e-06	1.28077e-06	6	0.102569667573619	"zero_24h"	"INTRON|nAChRalpha3"	40	5.99509852120067	5.89252885362705	5.98766904441985
"NightPDoze"	"2L_10772724"	6	2.41725e-06	TRUE	TRUE	0.931873450596152	1.00098374847519	2.43976e-06	7.50667e-06	6	0.492125755403918	"prop01_48h"	"UTR_3_PRIME|CG31869"	43	5.61667843109597	5.12455267569205	5.61265289325229
"NightPDoze"	"2L_15610070"	6	1.68655e-05	FALSE	TRUE	1.00023452817622	1.03919434880907	4.77041e-06	1.72729e-05	5	0.010366037768704	"current_simulated"	"UPSTREAM|EXON_2L_15610171_15610746"	18	4.773000779051	4.76263474128229	5.321444293269
"NightPDoze"	"2L_20529112"	6	4.76885e-06	TRUE	TRUE	0.892466081698865	0.998184264857691	5.12909e-06	2.72174e-05	1	0.756432973648901	"prop005_24h"	"INTRAGENIC|FBtr0304344"	60	5.32158633770386	4.56515336405496	5.28995968031416
"NightPDoze"	"3L_1311540"	6	1.60927e-05	FALSE	TRUE	0.948477144663298	0.996075185439529	1.78884e-05	2.64153e-05	0	0.21522663211271	"prop01_48h"	"SYNONYMOUS_CODING|Ctr9"	46	4.79337108475567	4.57814445264296	4.74742850248718
"NightPDoze"	"3L_18862904"	6	5.57965e-06	TRUE	TRUE	0.884843605194849	0.998645514893046	5.91956e-06	4.23623e-05	1	0.880372574078388	"zero_24h"	"UPSTREAM|CG6865"	44	5.25339304261009	4.3730204685317	5.22771057312061
"NightPDoze"	"3L_2547295"	6	8.5825e-07	TRUE	TRUE	0.940674420931057	1.00075481307009	8.74996e-07	1.95223e-06	6	0.356917170211636	"prop01_48h"	"INTRON|Spn"	81	6.06638618790221	5.70946901769058	6.05799393232843
"NightPDoze"	"3L_6298090"	6	4.43577e-06	TRUE	TRUE	0.89498606927285	1.00204342465908	4.37981e-06	2.61591e-05	1	0.770653778700666	"prop01_48h"	"INTERGENIC|unassigned"	31	5.35303098062938	4.58237720192871	5.35854472916287
"NightPDoze"	"3L_7668543"	6	1.67832e-05	FALSE	TRUE	0.963988531726427	0.999688784977651	1.73702e-05	2.18494e-05	0	0.114564745484256	"prop005_24h"	"SYNONYMOUS_CODING|Ank2"	31	4.77512523004816	4.6605604845639	4.76019518106952
"NightPDoze"	"3R_13899553"	6	5.95833e-06	TRUE	TRUE	0.969080279729131	0.997958989937346	5.82066e-06	7.85671e-06	6	0.120116170351658	"zero_24h"	"INTERGENIC|unassigned"	34	5.22487544720856	5.1047592768569	5.23502776825272
"NightPDoze"	"3R_23894037"	6	1.09154e-05	FALSE	TRUE	0.86705642370597	0.998870797362765	1.15157e-05	9.059e-05	0	0.91904060439426	"prop005_24h"	"UPSTREAM|tbrd-1"	27	4.96196034473636	4.0429197403421	4.93870965762182
"NightPWake"	"2L_20321158"	6	3.41134e-06	TRUE	TRUE	1.00032781577563	1.04660245254765	3.14618e-06	6.88668e-06	6	0.305084896660011	"zero_24h"	"INTRON|spir"	80	5.46707499335568	5.16199009669567	5.50221643404252
"NightPWake"	"2R_23639685"	6	5.0168e-06	TRUE	TRUE	1.00156257025945	1.12374282416775	1.43542e-06	5.59035e-06	6	0.0470122112300908	"prop01_48h"	"INTRON|retn"	45	5.29957321223271	5.25256100100262	5.84302100694784
