phenotype	metric	contrast	family	unit	definition	aggregation	eligibility	selection_class
"TotalSleep__State_D2_D6"	"TotalSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"24-hour sleep minutes; window coverage >=95%"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"TotalSleep__D6_D1"	"TotalSleep"	"D6_D1"	"sleep_amount_allocation"	"minutes"	"24-hour sleep minutes; window coverage >=95%"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"TotalSleep__Late2_Early2"	"TotalSleep"	"Late2_Early2"	"sleep_amount_allocation"	"minutes"	"24-hour sleep minutes; window coverage >=95%"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LightSleep__State_D2_D6"	"LightSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"ZT0-8 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LightSleep__D6_D1"	"LightSleep"	"D6_D1"	"sleep_amount_allocation"	"minutes"	"ZT0-8 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LightSleep__Late2_Early2"	"LightSleep"	"Late2_Early2"	"sleep_amount_allocation"	"minutes"	"ZT0-8 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkSleep__State_D2_D6"	"DarkSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkSleep__D6_D1"	"DarkSleep"	"D6_D1"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkSleep__Late2_Early2"	"DarkSleep"	"Late2_Early2"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SleepAllocation__State_D2_D6"	"SleepAllocation"	"State_D2_D6"	"sleep_amount_allocation"	"dimensionless"	"Dark sleep fraction minus light sleep fraction; window durations normalized"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SleepAllocation__D6_D1"	"SleepAllocation"	"D6_D1"	"sleep_amount_allocation"	"dimensionless"	"Dark sleep fraction minus light sleep fraction; window durations normalized"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SleepAllocation__Late2_Early2"	"SleepAllocation"	"Late2_Early2"	"sleep_amount_allocation"	"dimensionless"	"Dark sleep fraction minus light sleep fraction; window durations normalized"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityLight__State_D2_D6"	"ActivityLight"	"State_D2_D6"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityLight__D6_D1"	"ActivityLight"	"D6_D1"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityLight__Late2_Early2"	"ActivityLight"	"Late2_Early2"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityDark__State_D2_D6"	"ActivityDark"	"State_D2_D6"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityDark__D6_D1"	"ActivityDark"	"D6_D1"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityDark__Late2_Early2"	"ActivityDark"	"Late2_Early2"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityContrast__State_D2_D6"	"ActivityContrast"	"State_D2_D6"	"activity"	"log1p scale"	"log1p(dark activity/min) minus log1p(light activity/min); not a raw total ratio"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityContrast__D6_D1"	"ActivityContrast"	"D6_D1"	"activity"	"log1p scale"	"log1p(dark activity/min) minus log1p(light activity/min); not a raw total ratio"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"ActivityContrast__Late2_Early2"	"ActivityContrast"	"Late2_Early2"	"activity"	"log1p scale"	"log1p(dark activity/min) minus log1p(light activity/min); not a raw total ratio"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PWakeDark__State_D2_D6"	"PWakeDark"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PWakeDark__D6_D1"	"PWakeDark"	"D6_D1"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PWakeDark__Late2_Early2"	"PWakeDark"	"Late2_Early2"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeDark__State_D2_D6"	"PDozeDark"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeDark__D6_D1"	"PDozeDark"	"D6_D1"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeDark__Late2_Early2"	"PDozeDark"	"Late2_Early2"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationDark__State_D2_D6"	"FragmentationDark"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT8-24; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationDark__D6_D1"	"FragmentationDark"	"D6_D1"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT8-24; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationDark__Late2_Early2"	"FragmentationDark"	"Late2_Early2"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT8-24; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LongestBoutDark__State_D2_D6"	"LongestBoutDark"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(longest sleep bout minutes), clipped to ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LongestBoutDark__D6_D1"	"LongestBoutDark"	"D6_D1"	"sleep_architecture"	"log1p scale"	"log1p(longest sleep bout minutes), clipped to ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LongestBoutDark__Late2_Early2"	"LongestBoutDark"	"Late2_Early2"	"sleep_architecture"	"log1p scale"	"log1p(longest sleep bout minutes), clipped to ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"WakingActivityDark__State_D2_D6"	"WakingActivityDark"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(beam crossings per awake minute), ZT8-24; >=30 awake minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"WakingActivityDark__D6_D1"	"WakingActivityDark"	"D6_D1"	"sleep_architecture"	"log1p scale"	"log1p(beam crossings per awake minute), ZT8-24; >=30 awake minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"WakingActivityDark__Late2_Early2"	"WakingActivityDark"	"Late2_Early2"	"sleep_architecture"	"log1p scale"	"log1p(beam crossings per awake minute), ZT8-24; >=30 awake minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PWakeLight__State_D2_D6"	"PWakeLight"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
