phenotype	eligible_lines	eligible_line_batches	valid_fly_fraction	repeated_lines	batch_pairs	repeatability_rho	rho_ci_low	rho_ci_high	traditional_pair_rho	max_LOO_rho_change	raw_batchFE_rho	batchFE_available	CS_batches	CS_sd_vs_DGRP_sd	conditional_line_variance_fraction	mixed_model_singular	min8_min16_line_rho	min16_lines	raw_sd	metric	contrast	family	unit	definition	aggregation	eligibility	selection_class	review_status
"PCA_moving_raw_PC1"	176	256	1	67	95	0.822520987230945	0.706606201754281	0.879361064756451	0.82086433666291	0.0252297340824547	0.955487563284173	TRUE	22	0.48763389456228	0.872662589124909	FALSE	0.985957048361154	173	0.850553627455333	"PCA_moving_raw_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of moving raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"PCA_sleep_raw_PC1"	176	256	1	67	95	0.816176702161536	0.692588872015713	0.886938144466795	0.81847740111017	0.0243532092038347	0.951030156284394	TRUE	22	0.583407224919389	0.861840353975849	FALSE	0.985748455252143	173	1.00316152644108	"PCA_sleep_raw_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"TotalSleep__State_D2_D6"	176	256	1	67	95	0.810983696622097	0.686191543103938	0.882066036163116	0.810511616186363	0.0243590796330336	0.953659425115507	TRUE	22	0.577734100395516	0.86097638780608	FALSE	0.987634448788381	173	214.550470317489	"TotalSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"24-hour sleep minutes; window coverage >=95%"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"MovingDark__State_D2_D6"	176	256	1	67	95	0.776983137589397	0.623003341536971	0.876294402903784	0.774014601605757	0.0296011849110197	0.941286012154012	TRUE	22	0.49202945393379	0.815604207649923	FALSE	0.986930467724235	173	0.144694803977652	"MovingDark"	"State_D2_D6"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"DarkSleep__State_D2_D6"	176	256	1	67	95	0.758764163686373	0.571139144642919	0.860334933332787	0.768105644863978	0.042124338190038	0.942639098921718	TRUE	22	0.554678474350751	0.811754637243929	FALSE	0.985609326472906	173	165.294625120971	"DarkSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"DarkCoreMoving__State_D2_D6"	176	256	1	67	95	0.734056829912691	0.568539249647193	0.814393414054637	0.737101476671497	0.0427023604917606	0.939624047366536	TRUE	22	0.435835698832646	0.84617754138918	FALSE	0.987297222285159	173	0.150697193927136	"DarkCoreMoving"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"LightSleep__State_D2_D6"	176	256	1	67	95	0.72417835446936	0.543269936348945	0.822292795159075	0.732652475589616	0.0457416993246272	0.957479018511681	TRUE	22	0.75320124419275	0.796674903689594	FALSE	0.984826528052286	173	81.8632516742356	"LightSleep"	"State_D2_D6"	"sleep_amount_allocation"	"minutes"	"ZT0-8 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PDozeDark__State_D2_D6"	176	253	0.970134874759152	65	91	0.715902157414089	0.511242285065106	0.814476154491255	0.715853522562559	0.028439081949422	0.926040061633282	TRUE	22	0.276823668471568	0.772152351641665	FALSE	0.986933988726525	165	0.549223502312985	"PDozeDark"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PWakeDark__State_D2_D6"	176	256	0.998394348105331	67	95	0.71250905451606	0.536956017079442	0.832601173739961	0.705962439014147	0.0568953941067008	0.924314329738058	TRUE	22	0.700123646621836	0.795656616717914	FALSE	0.983152629895565	173	0.654561444744152	"PWakeDark"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT8-24; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PWakeLight__State_D2_D6"	176	256	0.998394348105331	67	95	0.709856562468287	0.544775459759608	0.796912979728604	0.758832011535688	0.0408749092208325	0.941032357473036	TRUE	22	0.641207765124991	0.776670983990915	FALSE	0.97851027436947	173	0.657552252024801	"PWakeLight"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"ActivityDark__State_D2_D6"	176	256	1	67	95	0.707274057018081	0.507391047522224	0.802122405062316	0.703449506863315	0.02872230604232	0.906288795949813	TRUE	22	0.76388488548487	0.784243000384988	FALSE	0.98397309612434	173	0.197623027649449	"ActivityDark"	"State_D2_D6"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"MovingLight__State_D2_D6"	176	256	1	67	95	0.69774351105236	0.512257720637172	0.801113748238797	0.70149833580448	0.0431150554074334	0.956631033052564	TRUE	22	0.674464155039731	0.798171586096186	FALSE	0.986609990854967	173	0.129498166953018	"MovingLight"	"State_D2_D6"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"SiestaMoving__State_D2_D6"	176	256	1	67	95	0.687089583446336	0.528030659069723	0.787693642510741	0.710985734103014	0.0405782720549328	0.947986841256019	TRUE	22	0.698513303194804	0.778797384862622	FALSE	0.982307115106766	173	0.131474912329899	"SiestaMoving"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"WakingActivityDark__State_D2_D6"	176	255	0.980571612074502	67	93	0.68416871116731	0.487539613305587	0.778969569457057	0.691253935803501	0.0455052565835422	0.912022892361875	TRUE	22	0.661384078659417	0.751660208656591	FALSE	0.988915456522411	167	0.147599497631951	"WakingActivityDark"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(beam crossings per awake minute), ZT8-24; >=30 awake minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"LongestBoutDark__State_D2_D6"	176	256	0.992935131663455	67	95	0.664004843072552	0.422593522971102	0.799164910953221	0.663235592638999	0.0698907649431376	0.846900726392252	TRUE	22	0.990370676719281	0.780182865041285	FALSE	0.978336446778627	173	0.607019821909389	"LongestBoutDark"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(longest sleep bout minutes), clipped to ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
