phenotype	min_n	lines	repeated_lines	pairs	symmetric_rho
"TotalSleep__State_D2_D6"	8	176	67	95	0.810983696622097
"TotalSleep__State_D2_D6"	12	176	55	72	0.774552557646009
"TotalSleep__State_D2_D6"	16	173	34	45	0.73759262308579
"TotalSleep__D6_D1"	8	169	66	94	0.577548876974247
"TotalSleep__D6_D1"	12	169	55	72	0.637464403209891
"TotalSleep__D6_D1"	16	166	34	45	0.787922204107175
"TotalSleep__Late2_Early2"	8	169	66	94	0.612763978380526
"TotalSleep__Late2_Early2"	12	169	55	72	0.650756742960612
"TotalSleep__Late2_Early2"	16	166	34	45	0.759577779058566
"LightSleep__State_D2_D6"	8	176	67	95	0.72417835446936
"LightSleep__State_D2_D6"	12	176	55	72	0.752275399161986
"LightSleep__State_D2_D6"	16	173	34	45	0.721955557019241
"LightSleep__D6_D1"	8	169	66	94	0.618830646290237
"LightSleep__D6_D1"	12	169	55	72	0.648766310508671
"LightSleep__D6_D1"	16	166	34	45	0.679924882010395
"LightSleep__Late2_Early2"	8	169	66	94	0.629659699055553
"LightSleep__Late2_Early2"	12	169	55	72	0.654175048785439
"LightSleep__Late2_Early2"	16	166	34	45	0.714126917471531
"DarkSleep__State_D2_D6"	8	176	67	95	0.758764163686373
"DarkSleep__State_D2_D6"	12	176	55	72	0.722274584357409
"DarkSleep__State_D2_D6"	16	173	34	45	0.687963641453354
"DarkSleep__D6_D1"	8	176	67	95	0.564196108382961
"DarkSleep__D6_D1"	12	176	55	72	0.619209643610083
"DarkSleep__D6_D1"	16	173	34	45	0.766921379401205
"DarkSleep__Late2_Early2"	8	176	67	95	0.529979747256256
"DarkSleep__Late2_Early2"	12	176	55	72	0.564959193885815
"DarkSleep__Late2_Early2"	16	173	34	45	0.695806815468594
"SleepAllocation__State_D2_D6"	8	176	67	95	0.456043167733379
"SleepAllocation__State_D2_D6"	12	176	55	72	0.464644718914161
"SleepAllocation__State_D2_D6"	16	173	34	45	0.519776057961469
"SleepAllocation__D6_D1"	8	169	66	94	0.412425103060897
"SleepAllocation__D6_D1"	12	169	55	72	0.425617858305567
"SleepAllocation__D6_D1"	16	166	34	45	0.45107854437675
"SleepAllocation__Late2_Early2"	8	169	66	94	0.336543384912697
"SleepAllocation__Late2_Early2"	12	169	55	72	0.354838968983493
"SleepAllocation__Late2_Early2"	16	166	34	45	0.363378890169603
"ActivityLight__State_D2_D6"	8	176	67	95	0.586788629977359
"ActivityLight__State_D2_D6"	12	176	55	72	0.542770786525886
"ActivityLight__State_D2_D6"	16	173	34	45	0.579746418574016
"ActivityLight__D6_D1"	8	169	66	94	0.385181807098898
"ActivityLight__D6_D1"	12	169	55	72	0.417024714332223
"ActivityLight__D6_D1"	16	166	34	45	0.550963280092211
