trait	Genotype	FID	batchFE	raw	n_batches	total_flies
"NightSleepChange"	"DGRP100"	"line_100"	-82.7879385944318	-32	1	28
"NightSleepChange"	"DGRP101"	"line_101"	0.206945795816182	3	1	27
"NightSleepChange"	"DGRP105"	"line_105"	-38.2115704622318	-13	1	20
"NightSleepChange"	"DGRP109"	"line_109"	-198.287938594432	-147.5	1	30
"NightSleepChange"	"DGRP129"	"line_129"	31.2120614055682	82	1	29
"NightSleepChange"	"DGRP136"	"line_136"	-135.223042409384	-109.5	1	22
"NightSleepChange"	"DGRP142"	"line_142"	-111.287938594432	-60.5	1	30
"NightSleepChange"	"DGRP149"	"line_149"	66.2120614055683	117	1	29
"NightSleepChange"	"DGRP161"	"line_161"	7.35837508627114	-31	2	35
"NightSleepChange"	"DGRP176"	"line_176"	2.43215870592793	-49	1	29
"NightSleepChange"	"DGRP181"	"line_181"	36.5682035011433	67.5	2	43
"NightSleepChange"	"DGRP189"	"line_189"	-100.612316319603	-71.5	2	39
"NightSleepChange"	"DGRP195"	"line_195"	13.6637324833323	11.75	2	33
"NightSleepChange"	"DGRP208"	"line_208"	-85.2480972025557	-77.5	2	54
"NightSleepChange"	"DGRP21"	"line_21"	-39.567841294072	-91	1	17
"NightSleepChange"	"DGRP217"	"line_217"	-61.1801138001941	-73	2	41
"NightSleepChange"	"DGRP228"	"line_228"	-114.1926481942	-16	1	23
"NightSleepChange"	"DGRP229"	"line_229"	-16.2879385944317	34.5	1	30
"NightSleepChange"	"DGRP235"	"line_235"	122.850553499959	91.5	2	28
"NightSleepChange"	"DGRP239"	"line_239"	32.9248186115894	47.25	2	44
"NightSleepChange"	"DGRP26"	"line_26"	1.2002265788703	-6.25	2	39
"NightSleepChange"	"DGRP280"	"line_280"	-94.5678412940721	-146	1	27
"NightSleepChange"	"DGRP287"	"line_287"	-85.1926481941997	13	1	24
"NightSleepChange"	"DGRP301"	"line_301"	210.908718967911	158	1	23
"NightSleepChange"	"DGRP303"	"line_303"	-103.004973477531	-52.75	2	42
"NightSleepChange"	"DGRP304"	"line_304"	-85.25497347753	-35	2	48
"NightSleepChange"	"DGRP306"	"line_306"	-187.567841294072	-239	1	30
"NightSleepChange"	"DGRP307"	"line_307"	-102.00497347753	-51.75	2	51
"NightSleepChange"	"DGRP309"	"line_309"	-110.88269193563	-106	2	40
"NightSleepChange"	"DGRP31"	"line_31"	-27.7930542041839	-25	1	24
"NightSleepChange"	"DGRP310"	"line_310"	-196.51004156642	-180.75	2	49
"NightSleepChange"	"DGRP313"	"line_313"	-12.2549734775318	38	2	58
"NightSleepChange"	"DGRP317"	"line_317"	-150.733399426253	-101	1	25
"NightSleepChange"	"DGRP318"	"line_318"	-178.293054204184	-175.5	1	24
"NightSleepChange"	"DGRP319"	"line_319"	-10.2092693512164	-14.3333333333333	3	44
"NightSleepChange"	"DGRP32"	"line_32"	-163.067562397254	-138	1	29
"NightSleepChange"	"DGRP320"	"line_320"	50.8673080643706	55.75	2	31
"NightSleepChange"	"DGRP321"	"line_321"	-38.0479118043213	-24.25	2	47
"NightSleepChange"	"DGRP324"	"line_324"	-92.7549734775322	-42.5	2	55
"NightSleepChange"	"DGRP332"	"line_332"	33.6173080643706	38.5	2	39
"NightSleepChange"	"DGRP335"	"line_335"	-46.5703001667386	-41.3333333333333	3	40
"NightSleepChange"	"DGRP336"	"line_336"	6.67638965433899	-7.75	4	61
"NightSleepChange"	"DGRP338"	"line_338"	-19.8277391932865	-29.5	2	39
"NightSleepChange"	"DGRP348"	"line_348"	0.766600573746787	50.5	1	20
"NightSleepChange"	"DGRP350"	"line_350"	-77.2333994262534	-27.5	1	20
"NightSleepChange"	"DGRP352"	"line_352"	-73.7333994262534	-24	1	25
"NightSleepChange"	"DGRP354"	"line_354"	1.99367166944917	7.25	2	51
"NightSleepChange"	"DGRP355"	"line_355"	18.2207427651511	-21	1	29
"NightSleepChange"	"DGRP356"	"line_356"	-219.320840708619	-250	2	44
"NightSleepChange"	"DGRP357"	"line_357"	193.17057828533	182	1	24
"NightSleepChange"	"DGRP358"	"line_358"	25.9950265224675	76.25	2	47
"NightSleepChange"	"DGRP359"	"line_359"	-17.7792572348487	-57	1	23
"NightSleepChange"	"DGRP360"	"line_360"	-48.2549734775304	2	2	47
"NightSleepChange"	"DGRP361"	"line_361"	34.7917787870738	-9.5	2	27
"NightSleepChange"	"DGRP362"	"line_362"	-62.0049734775308	-11.75	2	59
"NightSleepChange"	"DGRP365"	"line_365"	-46.0912810320867	-99	1	23
"NightSleepChange"	"DGRP370"	"line_370"	-67.7792572348487	-107	1	25
"NightSleepChange"	"DGRP371"	"line_371"	-265.279257234848	-304.5	1	28
"NightSleepChange"	"DGRP373"	"line_373"	-65.5678412940721	-117	1	24
"NightSleepChange"	"DGRP374"	"line_374"	-79.9030269402201	-29	1	26
"NightSleepChange"	"DGRP375"	"line_375"	-110.004973477532	-59.75	2	44
"NightSleepChange"	"DGRP377"	"line_377"	-71.7792572348487	-111	1	22
"NightSleepChange"	"DGRP379"	"line_379"	25.7884295377678	51	1	24
"NightSleepChange"	"DGRP38"	"line_38"	-114.733399426254	-65	1	25
"NightSleepChange"	"DGRP380"	"line_380"	-29.6606038446261	-29.8333333333333	3	63
"NightSleepChange"	"DGRP381"	"line_381"	211.220742765151	172	1	28
"NightSleepChange"	"DGRP382"	"line_382"	47.7464132600031	14	2	32
"NightSleepChange"	"DGRP383"	"line_383"	-47.2535867399968	-122	1	21
"NightSleepChange"	"DGRP385"	"line_385"	-186.779257234849	-226	1	29
"NightSleepChange"	"DGRP386"	"line_386"	-67.3886852313516	-108.25	2	41
"NightSleepChange"	"DGRP390"	"line_390"	34.2207427651514	-5	1	23
"NightSleepChange"	"DGRP391"	"line_391"	10.8492878463966	31.25	4	91
"NightSleepChange"	"DGRP392"	"line_392"	9.74641326000298	-65	1	31
"NightSleepChange"	"DGRP395"	"line_395"	-165.253586739997	-240	1	25
"NightSleepChange"	"DGRP397"	"line_397"	-113.253586739997	-188	1	30
"NightSleepChange"	"DGRP399"	"line_399"	-164.289392296829	-190	2	46
"NightSleepChange"	"DGRP40"	"line_40"	-88.5760712983096	-102	3	50
"NightSleepChange"	"DGRP405"	"line_405"	-98.2535867399968	-173	1	24
"NightSleepChange"	"DGRP406"	"line_406"	100.746413260003	26	1	22
"NightSleepChange"	"DGRP409"	"line_409"	-64.6105778186193	-73	2	34
"NightSleepChange"	"DGRP41"	"line_41"	-76.0675623972537	-51	1	25
"NightSleepChange"	"DGRP426"	"line_426"	-197.253586739997	-272	1	15
"NightSleepChange"	"DGRP427"	"line_427"	-30.7535867399968	-105.5	1	22
"NightSleepChange"	"DGRP437"	"line_437"	-201.864596120758	-166.333333333333	3	52
"NightSleepChange"	"DGRP439"	"line_439"	92.746413260003	18	1	27
"NightSleepChange"	"DGRP440"	"line_440"	80.7464132600028	6	1	25
"NightSleepChange"	"DGRP441"	"line_441"	108.075622173382	140.666666666667	3	63
"NightSleepChange"	"DGRP443"	"line_443"	101.746413260003	27	1	25
"NightSleepChange"	"DGRP45"	"line_45"	-72.0675623972538	-47	1	25
"NightSleepChange"	"DGRP461"	"line_461"	-81.9367472830036	-50.5	1	14
"NightSleepChange"	"DGRP48"	"line_48"	-225.067562397254	-200	1	22
"NightSleepChange"	"DGRP486"	"line_486"	-35.29783756721	39.25	2	38
"NightSleepChange"	"DGRP491"	"line_491"	-41.4843658640047	-45.75	2	39
"NightSleepChange"	"DGRP492"	"line_492"	-40.3164237040897	-37.1666666666667	3	42
"NightSleepChange"	"DGRP502"	"line_502"	181.75502451777	183.25	2	43
"NightSleepChange"	"DGRP505"	"line_505"	40.0632527169966	71.5	1	20
"NightSleepChange"	"DGRP509"	"line_509"	-500.936747283004	-469.5	1	22
"NightSleepChange"	"DGRP513"	"line_513"	224.077781451029	191	3	55
"NightSleepChange"	"DGRP517"	"line_517"	61.8600026676136	25.75	2	41
"NightSleepChange"	"DGRP528"	"line_528"	-135.399585732697	-130.75	2	44
"NightSleepChange"	"DGRP531"	"line_531"	103.975852673166	112	1	16
"NightSleepChange"	"DGRP535"	"line_535"	-98.2869662370039	-107.25	2	51
"NightSleepChange"	"DGRP551"	"line_551"	-127.436747283004	-96	1	26
"NightSleepChange"	"DGRP555"	"line_555"	109.96060770317	84.25	2	45
"NightSleepChange"	"DGRP559"	"line_559"	-117.810879327645	-106	1	21
"NightSleepChange"	"DGRP563"	"line_563"	-245.310879327645	-233.5	1	28
"NightSleepChange"	"DGRP566"	"line_566"	-241.810879327645	-230	1	23
"NightSleepChange"	"DGRP57"	"line_57"	-31.0675623972537	-6	1	21
"NightSleepChange"	"DGRP584"	"line_584"	15.6980332340854	23	2	28
"NightSleepChange"	"DGRP589"	"line_589"	51.5248109650122	24	1	21
"NightSleepChange"	"DGRP59"	"line_59"	-53.7930542041837	-51	1	27
"NightSleepChange"	"DGRP595"	"line_595"	-0.0241473268339929	8	1	31
"NightSleepChange"	"DGRP596"	"line_596"	-215.524147326835	-207.5	1	30
"NightSleepChange"	"DGRP627"	"line_627"	136.189120672355	148	1	17
"NightSleepChange"	"DGRP630"	"line_630"	-23.9396517650932	-66.75	2	42
"NightSleepChange"	"DGRP634"	"line_634"	-110.024147326834	-102	1	24
"NightSleepChange"	"DGRP639"	"line_639"	-101.29783756721	-26.75	2	32
"NightSleepChange"	"DGRP69"	"line_69"	-63.6388678896667	-70.25	2	32
"NightSleepChange"	"DGRP703"	"line_703"	-190.308512670609	-184	1	31
"NightSleepChange"	"DGRP705"	"line_705"	68.2896486266209	36.25	2	41
"NightSleepChange"	"DGRP707"	"line_707"	-74.1069531339327	-42.75	2	28
