Genotype	value	n_batches	total_flies	phenotype
"DGRP100"	1107.3864950057	1	28	"TotalSleep__State_D2_D6"
"DGRP101"	923.472121508683	1	27	"TotalSleep__State_D2_D6"
"DGRP105"	614.128217457796	1	20	"TotalSleep__State_D2_D6"
"DGRP109"	870.2864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP129"	1061.1864950057	1	29	"TotalSleep__State_D2_D6"
"DGRP136"	965.007304252631	1	22	"TotalSleep__State_D2_D6"
"DGRP142"	601.5864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP149"	440.7864950057	1	29	"TotalSleep__State_D2_D6"
"DGRP161"	1035.9309574228	2	35	"TotalSleep__State_D2_D6"
"DGRP176"	1015.86125168494	1	29	"TotalSleep__State_D2_D6"
"DGRP181"	780.902805115948	2	43	"TotalSleep__State_D2_D6"
"DGRP189"	754.294482559677	2	39	"TotalSleep__State_D2_D6"
"DGRP195"	962.552647024326	2	33	"TotalSleep__State_D2_D6"
"DGRP208"	560.014339404803	2	54	"TotalSleep__State_D2_D6"
"DGRP21"	995.861251684939	1	17	"TotalSleep__State_D2_D6"
"DGRP217"	709.440304747259	2	41	"TotalSleep__State_D2_D6"
"DGRP228"	991.481977049969	1	23	"TotalSleep__State_D2_D6"
"DGRP229"	824.6864950057	1	30	"TotalSleep__State_D2_D6"
"DGRP235"	973.310031497996	2	28	"TotalSleep__State_D2_D6"
"DGRP239"	1056.26410823437	2	44	"TotalSleep__State_D2_D6"
"DGRP26"	1090.57089152191	2	39	"TotalSleep__State_D2_D6"
"DGRP280"	762.461251684939	1	27	"TotalSleep__State_D2_D6"
"DGRP287"	1023.88197704997	1	24	"TotalSleep__State_D2_D6"
"DGRP301"	1031.98666624445	1	23	"TotalSleep__State_D2_D6"
"DGRP303"	1151.62685549169	2	42	"TotalSleep__State_D2_D6"
"DGRP304"	981.726855491686	2	48	"TotalSleep__State_D2_D6"
"DGRP306"	804.161251684939	1	30	"TotalSleep__State_D2_D6"
"DGRP307"	1030.42685549169	2	51	"TotalSleep__State_D2_D6"
"DGRP309"	911.24303625128	2	40	"TotalSleep__State_D2_D6"
"DGRP31"	984.372121508683	1	24	"TotalSleep__State_D2_D6"
"DGRP310"	580.758772224845	2	49	"TotalSleep__State_D2_D6"
"DGRP313"	827.326855491688	2	58	"TotalSleep__State_D2_D6"
"DGRP317"	570.279084433173	1	25	"TotalSleep__State_D2_D6"
"DGRP318"	608.872121508682	1	24	"TotalSleep__State_D2_D6"
"DGRP319"	1076.57593132187	3	44	"TotalSleep__State_D2_D6"
"DGRP32"	947.434794974427	1	29	"TotalSleep__State_D2_D6"
"DGRP320"	1109.39303625128	2	31	"TotalSleep__State_D2_D6"
"DGRP321"	843.91040294811	2	47	"TotalSleep__State_D2_D6"
