phenotype	Batch	Genotype	value	n_flies	n_retained	mad	q25	q75	metric	contrast	family	selection_class
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP303"	-0.0758234523022384	28	28	0.204948383089218	-0.142356021659309	0.0813702686945243	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP335"	-0.0348594969787314	4	4	0.235290974321982	-0.190884347613049	0.121468099137089	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP307"	-0.0348185267388435	24	24	0.104792981139838	-0.102250374547257	0.0247810307734785	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP362"	0.0321691546652065	29	29	0.0709837684005839	-0.017210292250112	0.0794402856850468	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP313"	0.117086989219506	31	31	0.214477769341583	-0.0505237609743037	0.244659192678849	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP358"	-0.0621047305807559	22	22	0.139407190832235	-0.154290749339058	0.0264947607159936	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP208"	-0.51294646977711	28	28	0.217852553746903	-0.661371083590284	-0.421900034996004	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP304"	-0.0526729544073724	27	27	0.112512270070536	-0.125763177610402	0.0225063553863582	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP324"	0.0285605360199593	29	29	0.203880325950734	-0.160550220721052	0.117501715964745	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP360"	-0.257906667203343	23	23	0.132863933885163	-0.3540296606663	-0.170298905049197	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch1_DGRP"	"DGRP375"	-0.00978872896291352	22	22	0.126000416881176	-0.102953104976152	0.0598910762364652	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch3_DGRP"	"DGRP774"	-0.422490108514899	26	26	0.31585734346643	-0.719674251120108	-0.283859451609011	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch3_DGRP"	"DGRP301"	-0.248716691293465	23	23	0.20457204154145	-0.352048491550355	-0.106086689874779	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch4a_DGRP"	"DGRP705"	-0.116034816269183	29	29	0.19358086292554	-0.304866975373442	-0.0439937909952309	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch3_DGRP"	"DGRP799"	-0.0693078900633097	30	30	0.213463466449792	-0.179737540257103	0.113636031845729	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch3_DGRP"	"DGRP714"	0.0305705863447525	19	19	0.150152484870523	-0.09772194656462	0.0992382243536825	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch3_DGRP"	"DGRP705"	0.000480003175469819	12	12	0.316045958516335	-0.147681491710076	0.225320289269959	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
