trait	variant	n_lines	eligible_variants	valid_tests	failed_tests	count_orientation_swaps	lambda_gc	minimum_p	lead_variant	lead_minor_carriers	nominal_hits	per_trait_hits	six_trait_hits	carrier20_nominal	family_threshold	trait_threshold
"LDHarmonicR2"	"primary"	176	1428812	1428812	0	0	1.00843543195271	1.60719e-06	"3R_24776116"	22	7	0	0	7	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"primary"	176	1428812	1428812	0	0	0.999717763256454	1.01135e-06	"X_8318357"	40	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"primary"	176	1428812	1428812	0	0	1.0083532861656	8.5825e-07	"3L_2547295"	81	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"primary"	176	1428812	1428812	0	0	1.00328613560461	8.6859e-07	"3L_3724365"	80	14	0	0	14	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"primary"	176	1428812	1428812	0	0	1.00744062294211	8.47576e-07	"3R_29419559"	58	5	0	0	4	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"primary"	176	1428812	1428812	0	0	1.00513467239192	5.34047e-06	"3L_3724365"	80	6	0	0	6	5.83235116539708e-09	3.49941069923825e-08
"LDHarmonicR2"	"raw_batch"	176	1428812	1428812	0	0	1.00279049424378	3.35376e-06	"3R_24776116"	22	6	0	0	6	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"raw_batch"	176	1428812	1428812	0	0	0.993483723665425	8.83693e-06	"3R_7161667"	65	3	0	0	3	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"raw_batch"	176	1428812	1428812	0	0	1.01148531671387	3.4419e-06	"2L_15610070"	18	6	0	0	5	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"raw_batch"	176	1428812	1428812	0	0	1.01552062097412	7.96955e-07	"3R_15397393"	24	12	0	0	12	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"raw_batch"	176	1428812	1428812	0	0	1.00428965373256	2.01626e-06	"3L_1888560"	28	9	0	0	8	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"raw_batch"	176	1428812	1428812	0	0	1.00795436177947	2.81125e-06	"2L_17491087"	79	10	0	0	10	5.83235116539708e-09	3.49941069923825e-08
"LDHarmonicR2"	"RINT"	176	1428812	1428812	0	0	1.00698568961436	2.44586e-06	"3R_27476251"	61	7	0	0	7	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"RINT"	176	1428812	1428812	0	0	0.9982538617844	1.17096e-06	"X_8318357"	40	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"RINT"	176	1428812	1428812	0	0	1.00575296404297	3.50863e-07	"3L_2547295"	81	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"RINT"	176	1428812	1428812	0	0	1.00289334854025	1.35554e-06	"3L_3724365"	80	9	0	0	8	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"RINT"	176	1428812	1428812	0	0	1.00749456827117	9.24084e-07	"3R_29419559"	58	6	0	0	5	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"RINT"	176	1428812	1428812	0	0	1.00576467678376	6.02236e-06	"3L_3724365"	80	1	0	0	1	5.83235116539708e-09	3.49941069923825e-08
"LDHarmonicR2"	"exclude_influential"	175	1429778	1429778	0	2349	1.00660122361197	1.31312e-06	"3R_27476251"	61	8	0	0	8	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"exclude_influential"	174	1434009	1434009	0	3402	0.995277264093375	3.33297e-06	"X_8318357"	38	7	0	0	7	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"exclude_influential"	175	1429778	1429778	0	2349	1.00819604927846	7.87956e-07	"3L_2547295"	81	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"exclude_influential"	174	1440860	1440860	0	3118	1.006500436213	1.54264e-06	"3L_3724365"	80	15	0	0	14	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"exclude_influential"	175	1429778	1429778	0	2349	1.0039854801631	1.65166e-06	"3R_29419559"	57	6	0	0	6	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"exclude_influential"	175	1429778	1429778	0	2349	1.00489352009072	5.89465e-06	"2L_15943639"	43	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"LDHarmonicR2"	"legacy_residual"	176	1428812	1428812	0	0	1.00241186961781	3.16916e-06	"3R_27476251"	61	10	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"legacy_residual"	176	1428812	1428812	0	0	0.99826551088908	8.81476e-07	"X_8318357"	40	5	0	0	5	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"legacy_residual"	176	1428812	1428812	0	0	0.986540884281304	5.06031e-07	"3L_2547295"	81	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"legacy_residual"	176	1428812	1428812	0	0	1.00305933416906	6.15378e-07	"3L_3724365"	80	14	0	0	14	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"legacy_residual"	176	1428812	1428812	0	0	1.00263155271084	9.2807e-07	"2R_6256391"	31	6	0	0	5	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"legacy_residual"	176	1428812	1428812	0	0	1.00484435829304	4.00562e-06	"2R_18433628"	50	6	0	0	6	5.83235116539708e-09	3.49941069923825e-08
"LDHarmonicR2"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.03579761248289	1.62937e-06	"3R_27476251"	61	11	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"MovingShapePC1"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.01673846142425	1.08659e-06	"X_8318357"	40	10	0	0	10	5.83235116539708e-09	3.49941069923825e-08
"NightPDoze"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.00491458997187	8.754e-07	"3L_2547295"	81	9	0	0	9	5.83235116539708e-09	3.49941069923825e-08
"NightPWake"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.02197123724301	7.84773e-07	"3L_3724365"	80	17	0	0	17	5.83235116539708e-09	3.49941069923825e-08
"NightSleepChange"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.05334323951715	3.14156e-07	"2R_6256391"	31	12	0	0	11	5.83235116539708e-09	3.49941069923825e-08
"TotalSleep"	"chromosome_LOCO"	176	1428812	1428812	0	0	1.02564019338351	4.23543e-06	"3L_3724365"	80	11	0	0	11	5.83235116539708e-09	3.49941069923825e-08
