deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_100"	-112.836004475857	26.0303714266958	1.45904157245635e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0529001122509873
"line_101"	-111.667481545649	26.0381779098931	1.79798127303271e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0378173853351544
"line_105"	-112.836004475859	26.0303714266959	1.45904157245589e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0529001122511241
"line_109"	-112.133890129289	26.0274760402387	1.64522284139428e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.000743048277513481
"line_129"	-110.965457742902	26.0519365850928	2.04982040157709e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0947480326205623
"line_136"	-111.557143611242	26.0440271670903	1.8405383285963e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.04797708724558
"line_142"	-113.412989397214	26.0462598932392	1.33498407120545e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0914916948625626
"line_149"	-113.956941112241	26.0427337057936	1.21006084002131e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.134160572136505
"line_161"	-111.821085669998	26.0333561775179	1.74456926947145e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0247204394557201
"line_176"	-111.588297495946	26.0400403607793	1.82527043567541e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0443594408197106
"line_181"	-112.611341336426	26.044677506504	1.53381308339928e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0311953406950005
"line_189"	-112.146065980886	26.02752787054	1.6418109808577e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00164462265510057
"line_195"	-111.60461591101	26.0486147015479	1.8317191650589e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0458911107423798
"line_208"	-110.216088177475	26.5641060391473	3.33842299848059e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.306573584910754
"line_21"	-111.708052752466	26.0397873229827	1.78754542815615e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0352893089772852
"line_217"	-114.173030997275	26.5869517701518	1.75225057859813e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0266284333919904
"line_228"	-111.493848419567	26.0472933420925	1.86525068669458e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0537694298788809
