metric	contrast	n_lines	n_line_batches	n_flies	n_repeated_lines	n_pairs	repeat_rho	cluster_bootstrap_low	cluster_bootstrap_high	batchFE_estimable
"DarkSleep"	"D6_D1"	176	256	5609	67	95	0.564196108382961	0.357199388261101	0.703419336429511	TRUE
"DarkSleep"	"Late2_Early2"	176	256	5609	67	95	0.529979747256256	0.332781206054287	0.683842794905568	TRUE
"DarkSleep"	"D6_D2"	176	256	5609	67	95	0.503811985224511	0.293626616148326	0.670743879145997	TRUE
"DarkSleep"	"Late2_D2D3"	176	256	5609	67	95	0.523760864715429	0.285987563264576	0.651998886123831	TRUE
"LightSleep"	"D6_D1"	169	248	5427	66	94	0.618830646290237	0.480955988573201	0.724928463091786	TRUE
"LightSleep"	"Late2_Early2"	169	248	5427	66	94	0.629659699055553	0.462793714925285	0.753629475328131	TRUE
"LightSleep"	"D6_D2"	176	256	5609	67	95	0.533080890068163	0.321481584475104	0.682776771750719	TRUE
"LightSleep"	"Late2_D2D3"	176	256	5609	67	95	0.42882877050299	0.244579376767897	0.570444568249556	TRUE
"TotalSleep"	"D6_D1"	169	248	5427	66	94	0.577548876974247	0.343665406536043	0.7319800981254	TRUE
"TotalSleep"	"Late2_Early2"	169	248	5427	66	94	0.612763978380526	0.359875749233561	0.754328864869377	TRUE
"TotalSleep"	"D6_D2"	176	256	5609	67	95	0.553830258535015	0.359872399480049	0.672642006990271	TRUE
"TotalSleep"	"Late2_D2D3"	176	256	5609	67	95	0.556644372219573	0.328585318956411	0.699031683059716	TRUE
"ZT00_04"	"D6_D1"	169	248	5427	66	94	0.647415910979443	0.498628662934936	0.743267175524278	TRUE
"ZT04_08"	"D6_D1"	169	248	5427	66	94	0.535317945962057	0.295470366997496	0.695075867577478	TRUE
"ZT08_12"	"D6_D1"	176	256	5609	67	95	0.379964263776034	0.15100396068172	0.574195621699923	TRUE
"ZT12_16"	"D6_D1"	176	256	5609	67	95	0.436240733429837	0.206446638378567	0.649549319243674	TRUE
"ZT16_20"	"D6_D1"	176	256	5609	67	95	0.538081424602393	0.265116358519661	0.672589017995696	TRUE
"ZT20_24"	"D6_D1"	176	256	5609	67	95	0.386494311962248	0.11371118138295	0.560510937588754	TRUE
