metric	estimator	association	n_splits	n_lines	median	split_q025	split_q975
"DarkSleep"	"raw_equal_batch_median"	"shared_half_spearman"	200	176	-0.00105328963156994	-0.0634172043649564	0.0488554487815487
"DarkSleep"	"batchFE_median"	"shared_half_spearman"	200	176	-0.0782764692934184	-0.157405018710103	0.000844651111600265
"LightSleep"	"raw_equal_batch_median"	"shared_half_spearman"	200	169	-0.227240658484546	-0.28425835194025	-0.163167183429148
"LightSleep"	"batchFE_median"	"shared_half_spearman"	200	169	-0.217694296653573	-0.304173151509124	-0.0977734821739347
"TotalSleep"	"raw_equal_batch_median"	"shared_half_spearman"	200	169	-0.0509936874403541	-0.103472063865304	0.00622320602113467
"TotalSleep"	"batchFE_median"	"shared_half_spearman"	200	169	-0.104252647804684	-0.176651897248526	-0.031647108547561
"DarkSleep"	"raw_equal_batch_median"	"independent_half_spearman"	200	176	0.0171737766962045	-0.0504816013446495	0.0869966588635919
"DarkSleep"	"batchFE_median"	"independent_half_spearman"	200	176	-0.0491195245432534	-0.117462909971385	0.0172184679727053
"LightSleep"	"raw_equal_batch_median"	"independent_half_spearman"	200	169	-0.179623104331148	-0.23616690937466	-0.117984447529349
"LightSleep"	"batchFE_median"	"independent_half_spearman"	200	169	-0.15597061309731	-0.239565246349887	-0.0214589652429019
"TotalSleep"	"raw_equal_batch_median"	"independent_half_spearman"	200	169	-0.023257468982479	-0.0749002815517663	0.0272322344806141
"TotalSleep"	"batchFE_median"	"independent_half_spearman"	200	169	-0.0745736164288201	-0.148523382725871	-0.00996239620108397
"DarkSleep"	"raw_equal_batch_median"	"shared_half_pearson"	200	176	-0.0688158732493175	-0.125892581192051	-0.027441256485477
"DarkSleep"	"batchFE_median"	"shared_half_pearson"	200	176	-0.141998180892853	-0.206920145922947	-0.0681319535965216
"LightSleep"	"raw_equal_batch_median"	"shared_half_pearson"	200	169	-0.330260255844033	-0.381977664132628	-0.275094843980666
"LightSleep"	"batchFE_median"	"shared_half_pearson"	200	169	-0.314293914392655	-0.390775532686256	-0.192082539594211
"TotalSleep"	"raw_equal_batch_median"	"shared_half_pearson"	200	169	-0.157540766943494	-0.204619333943471	-0.111482485621155
"TotalSleep"	"batchFE_median"	"shared_half_pearson"	200	169	-0.196890928549709	-0.259216519256082	-0.133800756940798
"DarkSleep"	"raw_equal_batch_median"	"independent_half_pearson"	200	176	-0.0427215603618043	-0.107147275264454	0.0202136199751168
"DarkSleep"	"batchFE_median"	"independent_half_pearson"	200	176	-0.106259195647881	-0.180439907134636	-0.0400981759739199
"LightSleep"	"raw_equal_batch_median"	"independent_half_pearson"	200	169	-0.283867478159327	-0.33166431147584	-0.207779164663627
"LightSleep"	"batchFE_median"	"independent_half_pearson"	200	169	-0.250706224523263	-0.33213201191235	-0.126833731589771
"TotalSleep"	"raw_equal_batch_median"	"independent_half_pearson"	200	169	-0.135446735246409	-0.183686867181701	-0.0648602498522109
"TotalSleep"	"batchFE_median"	"independent_half_pearson"	200	169	-0.16658905750948	-0.231593441084941	-0.0966270106010802
