scheme	phenotype	estimate	common_lines	rho	median_abs_difference	max_abs_difference	rms_difference_over_baseline_sd	sign_discordance
current_simulated	DarkSleep__D6_D1	batchFE	176	0.999883337001981	0.0385723650740886	9.34729147566367	0.0113083086703516	0
recovery_aware	DarkSleep__D6_D1	batchFE	176	0.99	3.94786788747193	60.0521359805081	0.102562677750851	0.0170454545454545
prop005_24h	DarkSleep__D6_D1	batchFE	176	0.996099493726612	3.15474927467928	52.4507541436139	0.0761912317516371	0.0113636363636364
prop001_24h	DarkSleep__D6_D1	batchFE	176	0.995064935064935	3.42482960086942	48.1529208140811	0.0781854871183578	0.0113636363636364
zero_24h	DarkSleep__D6_D1	batchFE	176	0.993015628439357	4.79778098798258	47.7973081680139	0.0911488885045631	0.0170454545454545
prop01_48h	DarkSleep__D6_D1	batchFE	176	0.998802553378825	1.30090672012478	52.0408891269536	0.0487789443113439	0.00568181818181818
current_simulated	DarkSleep__D6_D1	raw	176	0.999962578804635	0	15.75	0.0147232055617611	0
recovery_aware	DarkSleep__D6_D1	raw	176	0.998918639302907	0	66	0.0695188201221565	0.00568181818181818
prop005_24h	DarkSleep__D6_D1	raw	176	0.998270375100702	0	53.5	0.0606246555250909	0.0113636363636364
prop001_24h	DarkSleep__D6_D1	raw	176	0.997704656233261	0	53.5	0.066488882643177	0.0170454545454545
zero_24h	DarkSleep__D6_D1	raw	176	0.997704656233261	0	53.5	0.0664928554550355	0.0170454545454545
prop01_48h	DarkSleep__D6_D1	raw	176	0.999165728386862	0	53.5	0.0493545494425821	0.00568181818181818
current_simulated	PCA_moving_centered_shape_PC1	batchFE	176	0.999966982170372	0.000252764067252553	0.0299960675507193	0.00589059757909877	0
recovery_aware	PCA_moving_centered_shape_PC1	batchFE	176	0.998153202729474	0.0103585035465268	0.152184735250123	0.0664879386652628	0.0170454545454545
prop005_24h	PCA_moving_centered_shape_PC1	batchFE	176	0.999205370900286	0.00909373271911551	0.0627915041788516	0.0312137484660667	0.00568181818181818
prop001_24h	PCA_moving_centered_shape_PC1	batchFE	176	0.998115782522562	0.011930431898391	0.111405744368705	0.058381419933215	0.0113636363636364
zero_24h	PCA_moving_centered_shape_PC1	batchFE	176	0.997257318952234	0.0139786328089765	0.162426570109741	0.0770626587110349	0.0170454545454545
prop01_48h	PCA_moving_centered_shape_PC1	batchFE	176	0.999656614571869	0.00399899625350249	0.0461541370636855	0.019941105246314	0
current_simulated	PCA_moving_centered_shape_PC1	raw	176	0.999988994056791	0	0.0300506487781392	0.00518288492086034	0
recovery_aware	PCA_moving_centered_shape_PC1	raw	176	0.99972925379705	0	0.0778797127946203	0.0196887546837476	0
prop005_24h	PCA_moving_centered_shape_PC1	raw	176	0.999654413383227	0	0.0540233794090506	0.0205509864977089	0
prop001_24h	PCA_moving_centered_shape_PC1	raw	176	0.999555359894343	0	0.087949885741948	0.0276749058680193	0
zero_24h	PCA_moving_centered_shape_PC1	raw	176	0.999465111160026	0	0.087949885741948	0.0285275636181286	0
prop01_48h	PCA_moving_centered_shape_PC1	raw	176	0.999839313229144	0	0.0527111276299676	0.0155872127487613	0
current_simulated	PDozeDark__State_D2_D6	batchFE	176	0.999903147699758	6.5582292770372e-05	0.0707805855557626	0.0137181946420961	0
recovery_aware	PDozeDark__State_D2_D6	batchFE	176	0.977779000660357	0.0146950011013625	0.425542975741389	0.202093824919711	0
prop005_24h	PDozeDark__State_D2_D6	batchFE	176	0.976284393572529	0.0166728368905225	0.425510170830719	0.205845260519444	0
prop001_24h	PDozeDark__State_D2_D6	batchFE	176	0.976106097292538	0.0207221422324468	0.426669226946093	0.206729998003879	0
zero_24h	PDozeDark__State_D2_D6	batchFE	176	0.976141316310808	0.0208541420068461	0.426637048875509	0.206792000286293	0
prop01_48h	PDozeDark__State_D2_D6	batchFE	176	0.97772397094431	0.0167712523906693	0.425285052387609	0.202191801854893	0
current_simulated	PDozeDark__State_D2_D6	raw	176	0.999920757208893	0	0.070815132882845	0.0141281341215766	0
recovery_aware	PDozeDark__State_D2_D6	raw	176	0.999872331058772	0	0.070815132882845	0.0156429598392269	0
prop005_24h	PDozeDark__State_D2_D6	raw	176	0.999500330178296	0	0.103796815302607	0.0293733057524883	0
prop001_24h	PDozeDark__State_D2_D6	raw	176	0.999480519480519	0	0.103796815302607	0.0318299512532525	0
zero_24h	PDozeDark__State_D2_D6	raw	176	0.999458507594101	0	0.103796815302607	0.0318637976101662	0
prop01_48h	PDozeDark__State_D2_D6	raw	176	0.999854721549637	0	0.070815132882845	0.0160191010216704	0
current_simulated	PWakeDark__State_D2_D6	batchFE	176	0.999953775038521	0.0002214886202212	0.0816774990901299	0.0109270396436561	0
recovery_aware	PWakeDark__State_D2_D6	batchFE	176	0.982885758309487	0.0352055223141026	0.557321139733328	0.196087650704527	0
prop005_24h	PWakeDark__State_D2_D6	batchFE	176	0.998360114461809	0.0113850237268287	0.383898967358913	0.0658433370256915	0
prop001_24h	PWakeDark__State_D2_D6	batchFE	176	0.987514858023333	0.0536597790808603	0.542864147951219	0.162700080738545	0
zero_24h	PWakeDark__State_D2_D6	batchFE	176	0.975053929121726	0.0669603609427718	0.533335896303661	0.220531189478943	0.00568181818181818
prop01_48h	PWakeDark__State_D2_D6	batchFE	176	0.998600044023773	0.00315313463566425	0.291327752362219	0.0392492401420722	0
current_simulated	PWakeDark__State_D2_D6	raw	176	0.999993396434074	0	0.0818304174731629	0.0107610439442943	0
recovery_aware	PWakeDark__State_D2_D6	raw	176	0.996581554039181	0	0.97904684507041	0.136736977836231	0
prop005_24h	PWakeDark__State_D2_D6	raw	176	0.999377063614352	0	0.377767849894558	0.0566847072236124	0
prop001_24h	PWakeDark__State_D2_D6	raw	176	0.998217037200088	0	0.577429707760818	0.098148319000407	0
zero_24h	PWakeDark__State_D2_D6	raw	176	0.998217037200088	0	0.577429707760818	0.104349374202604	0
prop01_48h	PWakeDark__State_D2_D6	raw	176	0.998868589038081	0	0.280009681241348	0.0370146413411322	0
current_simulated	TotalSleep__State_D2_D6	batchFE	176	0.999986792868149	0.0297468753497014	10.1846434882232	0.0050613260278659	0
recovery_aware	TotalSleep__State_D2_D6	batchFE	176	0.995269645608629	4.87050648045641	105.483501378016	0.0812256846212232	0
prop005_24h	TotalSleep__State_D2_D6	batchFE	176	0.998534008364517	3.97495663737448	49.9444490338622	0.0404430995803579	0
prop001_24h	TotalSleep__State_D2_D6	batchFE	176	0.99528285274048	10.6638182729338	112.967597006767	0.0879061494319721	0
zero_24h	TotalSleep__State_D2_D6	batchFE	176	0.991613471274488	11.535990930317	117.606894822602	0.113078205739191	0
prop01_48h	TotalSleep__State_D2_D6	batchFE	176	0.999537750385208	0.556186540223735	75.6718038577566	0.0296898145897924	0
current_simulated	TotalSleep__State_D2_D6	raw	176	0.999995597613026	0	30.275	0.0117088345915603	0
recovery_aware	TotalSleep__State_D2_D6	raw	176	0.998327092949797	0	102.2	0.0526658607114633	0
prop005_24h	TotalSleep__State_D2_D6	raw	176	0.999267002568793	0	51.5500000000001	0.0312942607611137	0
prop001_24h	TotalSleep__State_D2_D6	raw	176	0.998010121087654	0	115.8	0.0567801226887469	0
zero_24h	TotalSleep__State_D2_D6	raw	176	0.99800571870068	0	115.8	0.0577867440955927	0
prop01_48h	TotalSleep__State_D2_D6	raw	176	0.999643406655088	0	68.2000000000001	0.0278412165526125	0
current_simulated	TwoHarmonicR2__State_D2_D6	batchFE	176	0.999949372661237	2.181034448967e-05	0.00419165859061321	0.00513582169141052	0
recovery_aware	TwoHarmonicR2__State_D2_D6	batchFE	176	0.995097952894563	0.00388736337798323	0.0705338882502843	0.0883218090638632	0
prop005_24h	TwoHarmonicR2__State_D2_D6	batchFE	176	0.996900726392252	0.00413815903864156	0.0296838192686846	0.0639800871780981	0
prop001_24h	TwoHarmonicR2__State_D2_D6	batchFE	176	0.99706361435175	0.00380348374754813	0.0335966242259355	0.0727782943438331	0
zero_24h	TwoHarmonicR2__State_D2_D6	batchFE	176	0.996042262821924	0.00471130537417935	0.0339767368464577	0.0866323029404835	0
prop01_48h	TwoHarmonicR2__State_D2_D6	batchFE	176	0.998941228263262	0.00179368060387239	0.0270231316975623	0.0355251876494607	0
current_simulated	TwoHarmonicR2__State_D2_D6	raw	176	0.999911952454325	0	0.00948596295528153	0.0071730812958768	0
recovery_aware	TwoHarmonicR2__State_D2_D6	raw	176	0.99471714725952	0	0.0867227003630882	0.0792010135031839	0
prop005_24h	TwoHarmonicR2__State_D2_D6	raw	176	0.998388729914154	0	0.0387207113119658	0.0424079572870608	0
prop001_24h	TwoHarmonicR2__State_D2_D6	raw	176	0.99799471714726	0	0.0387207113119658	0.0461300165381103	0
zero_24h	TwoHarmonicR2__State_D2_D6	raw	176	0.997790006603566	0	0.0387207113119658	0.047539529573617	0
prop01_48h	TwoHarmonicR2__State_D2_D6	raw	176	0.99930442438917	0	0.0301965584822915	0.0298959694185259	0
