scheme	phenotype	repeated_lines	pairs	rho
actual_retained	DarkSleep__D6_D1	67	95	0.564196108382961
actual_retained	TotalSleep__State_D2_D6	67	95	0.810983696622097
actual_retained	PCA_moving_centered_shape_PC1	67	95	0.578404235588885
actual_retained	PWakeDark__State_D2_D6	67	95	0.71250905451606
actual_retained	PDozeDark__State_D2_D6	65	91	0.715902157414089
actual_retained	TwoHarmonicR2__State_D2_D6	67	95	0.652530540401513
current_simulated	DarkSleep__D6_D1	67	98	0.595377602091237
current_simulated	TotalSleep__State_D2_D6	67	98	0.827567025656311
current_simulated	PCA_moving_centered_shape_PC1	67	98	0.592342475163729
current_simulated	PWakeDark__State_D2_D6	67	98	0.736101968572335
current_simulated	PDozeDark__State_D2_D6	65	94	0.740469320762725
current_simulated	TwoHarmonicR2__State_D2_D6	67	98	0.650591559891554
recovery_aware	DarkSleep__D6_D1	68	102	0.60735808647342
recovery_aware	TotalSleep__State_D2_D6	68	102	0.835647518244306
recovery_aware	PCA_moving_centered_shape_PC1	68	102	0.600542823317371
recovery_aware	PWakeDark__State_D2_D6	68	102	0.754065697171028
recovery_aware	PDozeDark__State_D2_D6	65	94	0.739201423224018
recovery_aware	TwoHarmonicR2__State_D2_D6	68	102	0.663450956832117
prop005_24h	DarkSleep__D6_D1	67	98	0.602211912961217
prop005_24h	TotalSleep__State_D2_D6	67	98	0.817833704569997
prop005_24h	PCA_moving_centered_shape_PC1	67	98	0.592428543422234
prop005_24h	PWakeDark__State_D2_D6	67	98	0.736678944675642
prop005_24h	PDozeDark__State_D2_D6	65	94	0.739804667921922
prop005_24h	TwoHarmonicR2__State_D2_D6	67	98	0.644410583845626
prop001_24h	DarkSleep__D6_D1	67	101	0.596320583487983
prop001_24h	TotalSleep__State_D2_D6	67	101	0.833870966567731
prop001_24h	PCA_moving_centered_shape_PC1	67	101	0.599637744464246
prop001_24h	PWakeDark__State_D2_D6	67	101	0.756913140208035
prop001_24h	PDozeDark__State_D2_D6	66	95	0.744536186012006
prop001_24h	TwoHarmonicR2__State_D2_D6	67	101	0.671684080558176
zero_24h	DarkSleep__D6_D1	67	101	0.595989335569893
zero_24h	TotalSleep__State_D2_D6	67	101	0.833783605717185
zero_24h	PCA_moving_centered_shape_PC1	67	101	0.599637744464246
zero_24h	PWakeDark__State_D2_D6	67	101	0.757047093219648
zero_24h	PDozeDark__State_D2_D6	66	95	0.744350719905937
zero_24h	TwoHarmonicR2__State_D2_D6	67	101	0.671442382732874
prop01_48h	DarkSleep__D6_D1	67	98	0.603563698034053
prop01_48h	TotalSleep__State_D2_D6	67	98	0.827028302112338
prop01_48h	PCA_moving_centered_shape_PC1	67	98	0.59327009972761
prop01_48h	PWakeDark__State_D2_D6	67	98	0.737708576064417
prop01_48h	PDozeDark__State_D2_D6	65	94	0.738182770500612
prop01_48h	TwoHarmonicR2__State_D2_D6	67	98	0.649137962636813
