model	PC	variance_fraction	n_training_lines	n_projected_flies
"moving_raw"	1	0.486236880458467	176	6228
"moving_raw"	2	0.182967140996258	176	6228
"moving_raw"	3	0.111130885436813	176	6228
"moving_raw"	4	0.0714395076221084	176	6228
"moving_raw"	5	0.0431542141424513	176	6228
"moving_raw"	6	0.0237631795322706	176	6228
"moving_raw"	7	0.0224757496247579	176	6228
"moving_raw"	8	0.013343245920027	176	6228
"moving_raw"	9	0.01088309905779	176	6228
"moving_raw"	10	0.00940396996954319	176	6228
"moving_raw"	11	0.00565782804616301	176	6228
"moving_raw"	12	0.00385358208367542	176	6228
"moving_raw"	13	0.00305596974978628	176	6228
"moving_raw"	14	0.0021425366296578	176	6228
"moving_raw"	15	0.00153206821695999	176	6228
"moving_raw"	16	0.00119714932858393	176	6228
"moving_raw"	17	0.00102258816905112	176	6228
"moving_raw"	18	0.000907962821926257	176	6228
"moving_raw"	19	0.000773144674469733	176	6228
"moving_raw"	20	0.000578705490336932	176	6228
"moving_raw"	21	0.000483167982320236	176	6228
"moving_raw"	22	0.000421599680572585	176	6228
"moving_raw"	23	0.000403568719009307	176	6228
"moving_raw"	24	0.0003750900644188	176	6228
"moving_raw"	25	0.000302217728276917	176	6228
"moving_raw"	26	0.000271358724465098	176	6228
"moving_raw"	27	0.000238331440817484	176	6228
"moving_raw"	28	0.000201806018253669	176	6228
"moving_raw"	29	0.000175502178658771	176	6228
"moving_raw"	30	0.000157940789756312	176	6228
"moving_raw"	31	0.000140495160499757	176	6228
"moving_raw"	32	0.000132771119076675	176	6228
"moving_raw"	33	0.000121368246180731	176	6228
"moving_raw"	34	0.000120503052400748	176	6228
"moving_raw"	35	0.000111896520211356	176	6228
"moving_raw"	36	0.000100281043372815	176	6228
"moving_raw"	37	9.62370805363293e-05	176	6228
"moving_raw"	38	8.9524682545621e-05	176	6228
"moving_raw"	39	8.09208639812843e-05	176	6228
"moving_raw"	40	7.17004427150697e-05	176	6228
"moving_raw"	41	6.34138645367595e-05	176	6228
"moving_raw"	42	6.13985148686775e-05	176	6228
"moving_raw"	43	5.49128168852002e-05	176	6228
"moving_raw"	44	4.74250282983044e-05	176	6228
"moving_raw"	45	4.46924852282491e-05	176	6228
"moving_raw"	46	4.06606240251892e-05	176	6228
"moving_raw"	47	3.93831022094036e-05	176	6228
"moving_raw"	48	3.24240547818608e-05	176	6228
"moving_centered_shape"	1	0.363578004058122	176	6228
"moving_centered_shape"	2	0.216984113159899	176	6228
"moving_centered_shape"	3	0.13358353058036	176	6228
"moving_centered_shape"	4	0.0876749188047689	176	6228
"moving_centered_shape"	5	0.0448918958102197	176	6228
"moving_centered_shape"	6	0.0421332095854594	176	6228
"moving_centered_shape"	7	0.0250066366309144	176	6228
"moving_centered_shape"	8	0.0203845578717926	176	6228
"moving_centered_shape"	9	0.0176422860000607	176	6228
"moving_centered_shape"	10	0.0107567457730904	176	6228
"moving_centered_shape"	11	0.00729265910368009	176	6228
"moving_centered_shape"	12	0.00571171926913296	176	6228
"moving_centered_shape"	13	0.00448121798981429	176	6228
"moving_centered_shape"	14	0.00286371114409062	176	6228
"moving_centered_shape"	15	0.00226030285834358	176	6228
"moving_centered_shape"	16	0.00195633355470611	176	6228
"moving_centered_shape"	17	0.00169791080353688	176	6228
"moving_centered_shape"	18	0.00144474432297592	176	6228
"moving_centered_shape"	19	0.00121588693175204	176	6228
"moving_centered_shape"	20	0.000909935276010435	176	6228
"moving_centered_shape"	21	0.000787871324909218	176	6228
"moving_centered_shape"	22	0.000757789010088661	176	6228
"moving_centered_shape"	23	0.000702012696714136	176	6228
"moving_centered_shape"	24	0.000573821451939984	176	6228
"moving_centered_shape"	25	0.000515681765804443	176	6228
"moving_centered_shape"	26	0.000447048581871897	176	6228
"moving_centered_shape"	27	0.0003913995360193	176	6228
"moving_centered_shape"	28	0.000328589537169027	176	6228
"moving_centered_shape"	29	0.000297790248488332	176	6228
"moving_centered_shape"	30	0.000263021061695051	176	6228
"moving_centered_shape"	31	0.000248293254288703	176	6228
"moving_centered_shape"	32	0.000235680447289955	176	6228
"moving_centered_shape"	33	0.000225360420643267	176	6228
"moving_centered_shape"	34	0.000210176559963596	176	6228
"moving_centered_shape"	35	0.000187758825403499	176	6228
"moving_centered_shape"	36	0.000180553441148249	176	6228
"moving_centered_shape"	37	0.000167305805252188	176	6228
"moving_centered_shape"	38	0.000151217282030818	176	6228
"moving_centered_shape"	39	0.000134476046168035	176	6228
"moving_centered_shape"	40	0.000118512843279272	176	6228
"moving_centered_shape"	41	0.000116015224202911	176	6228
"moving_centered_shape"	42	0.000104435004087748	176	6228
"moving_centered_shape"	43	8.86769564608804e-05	176	6228
"moving_centered_shape"	44	8.55779808281001e-05	176	6228
"moving_centered_shape"	45	7.60186885688815e-05	176	6228
"moving_centered_shape"	46	7.36942148213643e-05	176	6228
"moving_centered_shape"	47	6.09022621314116e-05	176	6228
"moving_centered_shape"	48	2.73677491303812e-32	176	6228
"moving_change"	1	0.403309876293266	169	6008
"moving_change"	2	0.14672040740247	169	6008
"moving_change"	3	0.0854788590013801	169	6008
"moving_change"	4	0.0689449101533296	169	6008
"moving_change"	5	0.0557664474808704	169	6008
"moving_change"	6	0.0337312774349805	169	6008
"moving_change"	7	0.0275229367874577	169	6008
"moving_change"	8	0.0248082993327186	169	6008
"moving_change"	9	0.0220401104776835	169	6008
"moving_change"	10	0.0146274662976769	169	6008
"moving_change"	11	0.0133236548789882	169	6008
"moving_change"	12	0.0128757144321108	169	6008
"moving_change"	13	0.0115168892031474	169	6008
"moving_change"	14	0.00845771942841897	169	6008
"moving_change"	15	0.0075132498267802	169	6008
"moving_change"	16	0.00743630894540347	169	6008
"moving_change"	17	0.00552780934835127	169	6008
"moving_change"	18	0.00513632177374863	169	6008
"moving_change"	19	0.00444079026208833	169	6008
"moving_change"	20	0.00365502859126949	169	6008
"moving_change"	21	0.00352863256088248	169	6008
"moving_change"	22	0.0027938354956541	169	6008
