PCA_phenotype	comparison_phenotype	rho	paired_lines
"PCA_moving_centered_shape_PC1"	"ActivityContrast__State_D2_D6"	0.724512436715827	176
"PCA_moving_centered_shape_PC1"	"Harmonic12Amplitude__State_D2_D6"	0.70636803874092	176
"PCA_moving_centered_shape_PC1"	"DuskAnticipation__State_D2_D6"	0.567978176525395	173
"PCA_moving_centered_shape_PC1"	"EveningPeakAmplitude__State_D2_D6"	0.541620074840414	176
"PCA_moving_centered_shape_PC1"	"MovingDark__State_D2_D6"	0.463422848338103	176
"PCA_moving_centered_shape_PC1"	"TwoHarmonicR2__State_D2_D6"	0.441778560422628	176
"PCA_moving_centered_shape_PC1"	"LDInterdailyStability__State_D2_D6"	0.43966982170372	176
"PCA_moving_centered_shape_PC1"	"LD24hLagCorrelation__State_D2_D6"	0.434342945190403	176
"PCA_moving_centered_shape_PC1"	"OddEvenProfileCorrelation__State_D2_D6"	0.392958397534669	176
"PCA_moving_centered_shape_PC1"	"ActivityDark__State_D2_D6"	0.37481179837112	176
"PCA_moving_centered_shape_PC1"	"DuskResponse__State_D2_D6"	0.366327518340094	176
"PCA_moving_centered_shape_PC1"	"LightSleep__State_D2_D6"	0.350688972044904	176
"PCA_moving_centered_shape_PC1"	"DarkCoreMoving__State_D2_D6"	0.28636803874092	176
"PCA_moving_centered_shape_PC1"	"PWakeDark__State_D2_D6"	0.282621615672463	176
"PCA_moving_centered_shape_PC1"	"DawnAnticipation__D6_D1"	0.185584415584416	176
"PCA_moving_centered_shape_PC1"	"ActivityLight__D6_D1"	0.17370095967381	169
"PCA_moving_centered_shape_PC1"	"PWakeLight__D6_D1"	0.168487394957983	169
"PCA_moving_centered_shape_PC1"	"ActivityLight__Late2_Early2"	0.148371537964298	169
"PCA_moving_centered_shape_PC1"	"FragmentationLight__D6_D1"	0.142645815722739	169
"PCA_moving_centered_shape_PC1"	"PDozeDark__Late2_Early2"	0.130680167290337	176
"PCA_moving_centered_shape_PC1"	"DawnAnticipation__Late2_Early2"	0.121987673343606	176
"PCA_moving_centered_shape_PC1"	"PWakeLight__Late2_Early2"	0.117164735716772	169
"PCA_moving_centered_shape_PC1"	"PDozeDark__D6_D1"	0.104065595421528	176
"PCA_moving_centered_shape_PC1"	"FragmentationLight__Late2_Early2"	0.100113382702052	168
"PCA_moving_centered_shape_PC1"	"PDozeLight__D6_D1"	0.0976558071464644	167
"PCA_moving_centered_shape_PC1"	"PWakeDark__D6_D1"	0.0830574510235527	176
"PCA_moving_centered_shape_PC1"	"SleepAllocation__Late2_Early2"	0.0821416140420666	169
"PCA_moving_centered_shape_PC1"	"Harmonic24Amplitude__State_D2_D6"	0.0798106977767995	176
"PCA_moving_centered_shape_PC1"	"FragmentationDark__State_D2_D6"	0.0702751485802333	176
"PCA_moving_centered_shape_PC1"	"PWakeDark__Late2_Early2"	0.0607726172132952	176
"PCA_moving_centered_shape_PC1"	"LongestBoutDark__Late2_Early2"	0.0464758969843716	176
"PCA_moving_centered_shape_PC1"	"FragmentationDark__D6_D1"	0.0355976227162668	176
"PCA_moving_centered_shape_PC1"	"MovingLight__Late2_Early2"	0.0318432698523196	169
"PCA_moving_centered_shape_PC1"	"WakingActivityDark__State_D2_D6"	0.0314505833149901	176
"PCA_moving_centered_shape_PC1"	"SiestaMoving__D6_D1"	0.0275135668996914	169
"PCA_moving_centered_shape_PC1"	"DarkSleep__Late2_Early2"	0.0274202069117323	176
