model	resampling	metric	n_valid	median	q025	q975
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"PC1_loading_cosine"	500	0.995738827585975	0.981471150402785	0.998802132330501
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"PC1_loading_cosine"	500	0.98712491722162	0.915919039505598	0.997669205957765
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_loading_cosine"	200	0.999562349310058	0.997995194608239	0.999880496773607
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_loading_cosine"	200	0.997039552504623	0.982929700923935	0.999243205232479
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"frozen_PC2_to_new_PC1_abs_cosine"	500	0.0476109054274419	0.00490595694686206	0.166843217842736
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"frozen_PC2_to_new_PC1_abs_cosine"	500	0.100610134429098	0.00458253419421445	0.372594723557955
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"frozen_PC2_to_new_PC1_abs_cosine"	200	0.014118095014798	0.000812939902557815	0.0554314748157277
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"frozen_PC2_to_new_PC1_abs_cosine"	200	0.0458841380120285	0.00216981202815254	0.163275811860436
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"PC1_best_matching_frozen_axis"	500	1	1	1
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"PC1_best_matching_frozen_axis"	500	1	1	1
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_best_matching_frozen_axis"	200	1	1	1
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_best_matching_frozen_axis"	200	1	1	1
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"PC1_fixed_profile_score_rho"	500	0.998426150121065	0.990628219238389	0.999623816861105
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"PC1_fixed_profile_score_rho"	500	0.99369029275809	0.94764142637024	0.999376458287475
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_fixed_profile_score_rho"	200	0.999744662117543	0.998777624917455	0.999953775038521
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_fixed_profile_score_rho"	200	0.998286374642307	0.989126238168611	0.99964852520361
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	"PC1_perturbed_profile_score_rho"	0	NA	NA	NA
"moving_centered_shape"	"DGRP_line_bootstrap_frozen_batch"	"PC1_perturbed_profile_score_rho"	0	NA	NA	NA
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	"PC1_perturbed_profile_score_rho"	200	0.980009905348888	0.969043418445961	0.985748073959938
