model	resampling	bin	zt	median	q025	q975
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	1	0.25	0.0855971897019654	0.0412053647940824	0.12173414774922
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	2	0.75	0.0871489930380115	0.0410727440340603	0.12551280853562
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	3	1.25	0.0878876201919293	0.0464970894055716	0.123743775861816
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	4	1.75	0.0857566757738312	0.0455761362574936	0.123881021201935
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	5	2.25	0.0851658493937317	0.0469200369609529	0.120003030091209
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	6	2.75	0.0842216294143464	0.0494569334056675	0.115669402003739
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	7	3.25	0.0870155762991987	0.0533360654378731	0.117393511074198
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	8	3.75	0.0867515110818539	0.0541231710368822	0.116122167088046
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	9	4.25	0.0866342368632174	0.0554105215303919	0.114528092343209
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	10	4.75	0.0903144843052141	0.0603607703134237	0.116916040705992
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	11	5.25	0.0970482692808785	0.0678469022559322	0.121965536742317
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	12	5.75	0.101367754367632	0.0728692048111927	0.124611299556321
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	13	6.25	0.102590573409162	0.0746843368174056	0.128229399302204
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	14	6.75	0.105787376349539	0.0767196194963605	0.131229607626723
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	15	7.25	0.114703868484304	0.0983980936881889	0.13414621835455
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	16	7.75	0.144030789695548	0.120112322019203	0.174399278782569
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	17	8.25	0.152454583285009	0.122463537593795	0.194687577923314
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	18	8.75	0.16755727576433	0.127510949845067	0.214402843391832
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	19	9.25	0.1762937835995	0.133880232716807	0.222253328072673
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	20	9.75	0.186651550287534	0.143869829967943	0.228269108620955
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	21	10.25	0.193174212231515	0.153133072370312	0.235913762149945
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	22	10.75	0.193178061856152	0.156805378563799	0.229807502196785
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	23	11.25	0.18446498976239	0.152367182100759	0.216763765480303
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	24	11.75	0.171436297064189	0.138316850597391	0.201456246001421
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	25	12.25	0.162515116109301	0.131744125773482	0.188350460412476
"moving_raw"	"DGRP_line_bootstrap_frozen_batch"	26	12.75	0.148429086659087	0.119054273246824	0.175314564453049
