phenotype	family	repeatability_rho	selected_replicates	selection_frequency	rank_median	rank_q025	rank_q975	rho_q025	rho_q975	in_frozen_QA_pool	in_original_discovery_panel	frozen_primary_GWAS
"DarkSleep__D6_D1"	"sleep_amount_allocation"	0.564196108382961	500	1	34	10	49	0.337639689279613	0.721173543917852	TRUE	TRUE	TRUE
"TwoHarmonicR2__State_D2_D6"	"LD_profile"	0.652530540401513	318	0.636	19	5	44	0.467515232026879	0.772879753785024	TRUE	TRUE	TRUE
"PDozeDark__State_D2_D6"	"sleep_architecture"	0.715902157414089	304	0.608	12	1	36	0.553837083454498	0.817810787829128	TRUE	TRUE	TRUE
"ActivityLight__State_D2_D6"	"activity"	0.586788629977359	250	0.5	30	9	50	0.372652443674678	0.744261117618534	TRUE	TRUE	FALSE
"WakingActivityDark__State_D2_D6"	"sleep_architecture"	0.68416871116731	218	0.436	15	3	40.525	0.505843607826084	0.774139852230183	TRUE	FALSE	FALSE
"PCA_moving_raw_PC1"	"profile_PCA"	0.822520987230945	204	0.408	2	1	10	0.687745323595794	0.878680452727105	TRUE	TRUE	FALSE
"LightSleep__State_D2_D6"	"sleep_amount_allocation"	0.72417835446936	198	0.396	9	2	30	0.55623556569272	0.829142964314008	TRUE	TRUE	FALSE
"Harmonic24Amplitude__State_D2_D6"	"LD_profile"	0.612620683139179	189	0.378	24	9	46.525	0.437016780274851	0.751496334339345	TRUE	TRUE	FALSE
"DarkCoreMoving__D6_D1"	"LD_transition"	0.536617927916342	165	0.33	37	14	50	0.315545269381886	0.699409750071488	TRUE	FALSE	FALSE
"PCA_sleep_raw_PC1"	"profile_PCA"	0.816176702161536	151	0.302	2	1	8	0.687158656641315	0.882116447605833	TRUE	FALSE	FALSE
"LongestBoutDark__State_D2_D6"	"sleep_architecture"	0.664004843072552	143	0.286	17	3	45	0.449379753812197	0.807123391961381	TRUE	FALSE	FALSE
"EveningPeakAmplitude__State_D2_D6"	"LD_profile"	0.595999653558765	142	0.284	27	6	50	0.357029457357791	0.75086002524442	TRUE	FALSE	FALSE
"PCA_moving_raw_PC2"	"profile_PCA"	0.571262103307217	126	0.252	32	10	49.525	0.345293810041738	0.725764418635115	TRUE	FALSE	FALSE
"Harmonic12Amplitude__State_D2_D6"	"LD_profile"	0.599809636454619	124	0.248	28	7.475	50	0.392521367911826	0.740983021447658	TRUE	FALSE	FALSE
"ActivityDark__State_D2_D6"	"activity"	0.707274057018081	118	0.236	13	4	32	0.556674686284719	0.819006040840367	TRUE	FALSE	FALSE
"ActivityDark__Late2_Early2"	"activity"	0.500047240953357	117	0.234	43	18	51	0.289996295900622	0.655990501827445	TRUE	FALSE	FALSE
"TotalSleep__State_D2_D6"	"sleep_amount_allocation"	0.810983696622097	115	0.23	3	1	9	0.682284815762442	0.886439234438028	TRUE	FALSE	TRUE
"PWakeDark__State_D2_D6"	"sleep_architecture"	0.71250905451606	114	0.228	11	4	36	0.5095710847603	0.829034261394647	TRUE	TRUE	TRUE
"PWakeLight__State_D2_D6"	"sleep_architecture"	0.709856562468287	113	0.226	11	1.475	30	0.529841280555195	0.815778056244553	TRUE	FALSE	FALSE
