trait	SNP	region_rank	n_called	n_missing	minor_carriers	call_rate	missing_lines	mean_called	mean_missing	missing_minus_called_over_total_sd	full_gls_beta	full_gls_se	full_gls_p	complete_case_beta	complete_case_se	complete_case_p	complete_case_effect_ratio	complete_case_same_direction	missing_indicator_beta	missing_indicator_p	missing_indicator_BH_selected
"TotalSleep"	"2L_10170542"	10	169	7	20	0.960227272727273	"line_109;line_338;line_352;line_383;line_502;line_774;line_913"	838.185289157563	787.590865631619	-0.235196430438137	-112.124005951107	26.0274685148779	1.64804011500952e-05	-115.994413210809	26.094716968738	8.78386730199823e-06	1.03451898839032	TRUE	-44.7467694372597	0.586488334281745	0.89558381486591
"TotalSleep"	"2L_15943639"	2	164	12	43	0.931818181818182	"line_100;line_109;line_301;line_303;line_362;line_377;line_426;line_502;line_627;line_738;line_802;line_88"	833.918765629605	866.981030316188	0.153695330326229	-89.4092487736967	19.8870485361832	6.92915651761638e-06	-85.8369323107637	20.0148254602129	1.79748185848037e-05	0.960045336339031	TRUE	91.88478158027	0.213857892822333	0.813678586535311
"TotalSleep"	"2L_17491087"	4	163	13	79	0.926136363636364	"line_100;line_101;line_109;line_228;line_301;line_336;line_405;line_443;line_738;line_774;line_796;line_802;line_88"	835.255752357602	847.674022520037	0.05772835444846	-80.8331056199424	18.0730056250486	7.72786306374609e-06	-83.569046794972	18.2107123075718	4.45364118886497e-06	1.0338467902977	TRUE	66.0529669274265	0.356874545820685	0.89558381486591
"TotalSleep"	"2L_20321158"	5	163	13	80	0.926136363636364	"line_100;line_101;line_303;line_319;line_377;line_379;line_381;line_409;line_426;line_634;line_802;line_85;line_88"	832.324011359527	884.433544265126	0.242239663525582	79.4683653793054	17.773545269187	7.77964512714347e-06	81.0843398295566	17.8330362700282	5.44518948776112e-06	1.02033481426903	TRUE	83.6436427500008	0.238491999501729	0.813678586535311
"TotalSleep"	"2R_18433628"	8	167	9	50	0.948863636363636	"line_142;line_319;line_336;line_377;line_409;line_563;line_820;line_857;line_879"	838.544095568954	792.176218559354	-0.215548639546417	79.4253458666378	18.2193027245257	1.30415688204005e-05	79.688401267748	18.2739059064961	1.2960228416904e-05	1.00331198307341	TRUE	-99.3040822667761	0.213903953587734	0.813678586535311
"TotalSleep"	"3L_3724365"	1	168	8	80	0.954545454545455	"line_136;line_31;line_350;line_380;line_40;line_737;line_774;line_801"	832.193807358818	919.736286346015	0.40695549300875	78.9228621264346	17.3420939030455	5.3406290097983e-06	79.5577466700474	17.41368055056	4.90776872764277e-06	1.00804436796268	TRUE	108.72705468559	0.157165689190931	0.813678586535311
"TotalSleep"	"3L_4047811"	3	170	6	46	0.965909090909091	"line_229;line_350;line_627;line_774;line_801;line_88"	833.246963961183	919.077675608085	0.398998063313534	-88.8618895330752	19.8572691239085	7.64003237624816e-06	-88.6531724845926	19.940126854578	8.74968389743279e-06	0.9976512197796	TRUE	98.0153901663626	0.255772462967031	0.824155714004878
"TotalSleep"	"3R_13161784"	9	160	16	64	0.909090909090909	"line_136;line_31;line_321;line_336;line_38;line_440;line_48;line_559;line_59;line_627;line_630;line_714;line_774;line_808;line_88;line_907"	833.366840266967	864.234717770927	0.143494363571713	-77.8496682370261	17.9949677552437	1.51709860624528e-05	-77.5465747415433	18.0628305575677	1.76150032951449e-05	0.996106682246095	TRUE	63.5648023465616	0.30400444176336	0.827502043020201
"TotalSleep"	"3R_16911341"	7	166	10	57	0.943181818181818	"line_321;line_390;line_551;line_559;line_634;line_738;line_802;line_907;line_911;line_913"	842.719129056949	727.507450359599	-0.53558028110562	-85.353889412602	19.4127544723954	1.09861337053109e-05	-85.4923189488875	19.5572632646162	1.23461113181999e-05	1.00162183044309	TRUE	-95.151446828665	0.226089399235435	0.813678586535311
"TotalSleep"	"X_2509888"	6	173	3	28	0.982954545454545	"line_303;line_336;line_796"	832.802313941998	1030.54987169463	0.919261777682451	-100.770056909823	22.6943864353049	8.98303794730102e-06	-96.5509479655632	22.8612068010113	2.40694304942808e-05	0.958131323196177	TRUE	218.062876874547	0.0784986558811277	0.813678586535311
"MovingShapePC1"	"2L_10641389"	7	162	14	24	0.920454545454545	"line_100;line_101;line_301;line_336;line_380;line_405;line_409;line_426;line_443;line_502;line_528;line_563;line_627;line_776"	-0.0136518818253722	0.157971775407869	0.318689918104167	-0.296594917128339	0.0696172424954225	2.0409262248482e-05	-0.297506290345776	0.0698701156693554	2.06272691487655e-05	1.00307278771417	TRUE	0.133037998199862	0.437864556021232	0.89558381486591
"MovingShapePC1"	"2L_663591"	10	160	16	41	0.909090909090909	"line_109;line_287;line_336;line_360;line_362;line_405;line_409;line_426;line_443;line_528;line_595;line_627;line_801;line_802;line_812;line_88"	-0.0133900186295983	0.133900186295976	0.273504854179191	-0.21488451180495	0.0513366778465778	2.84176988843545e-05	-0.22253540613456	0.0516104349424527	1.61909122031123e-05	1.03560468023193	TRUE	-0.000308779711558478	0.998466802056428	0.998466802056428
"MovingShapePC1"	"2R_12665067"	2	168	8	58	0.954545454545455	"line_303;line_360;line_377;line_426;line_563;line_627;line_630;line_802"	-0.00554210497087644	0.11638420438839	0.226406348465355	0.210423990842986	0.045825142390266	4.3925090350304e-06	0.208284977445185	0.0459549711929537	5.83253027949115e-06	0.989834745604666	TRUE	0.136476227613183	0.53811801802803	0.89558381486591
"MovingShapePC1"	"2R_16405149"	3	169	7	68	0.960227272727273	"line_136;line_142;line_336;line_338;line_426;line_528;line_551"	-0.00504224469908024	0.121734193449206	0.235412607692582	0.210071324453013	0.0459732610673732	4.89066372077032e-06	0.212786989698364	0.0460372866811384	3.79952518412936e-06	1.01292734861563	TRUE	0.00995102456691875	0.9668479985441	0.983810244132593
"MovingShapePC1"	"2R_24313340"	6	169	7	40	0.960227272727273	"line_319;line_360;line_426;line_528;line_559;line_774;line_787"	-0.00060786263185122	0.0146755406832473	0.0283799251767623	0.217601207934232	0.0505561863399513	1.67631083515708e-05	0.213606877977816	0.0506953138792636	2.51395851819254e-05	0.981643806142738	TRUE	-0.0691393788456216	0.738598290173541	0.922950932827592
"MovingShapePC1"	"3L_1820086"	9	169	7	71	0.960227272727273	"line_136;line_287;line_31;line_409;line_861;line_91;line_913"	-0.00591469910267811	0.142797735478925	0.276145808578555	0.185867171571037	0.0440449410379401	2.44363333124734e-05	0.187726881246346	0.0442674818695155	2.22784076433954e-05	1.01000558441596	TRUE	-0.0352918004395186	0.873171765064943	0.922950932827592
"MovingShapePC1"	"3R_19299344"	8	165	11	79	0.9375	"line_309;line_332;line_373;line_397;line_48;line_559;line_627;line_634;line_738;line_801;line_857"	0.00804395127535465	-0.120659269130331	-0.238990471547218	0.200445200349958	0.047272482981175	2.23311921958329e-05	0.197839065040085	0.0478334040557463	3.53408782584598e-05	0.986998265334749	TRUE	-0.22860695625105	0.198390391315326	0.813678586535311
"MovingShapePC1"	"3R_22569326"	5	160	16	23	0.909090909090909	"line_26;line_287;line_31;line_317;line_318;line_338;line_352;line_358;line_386;line_390;line_59;line_595;line_69;line_783;line_85;line_91"	-0.00338307427411953	0.0338307427411878	0.0691027594222288	0.269418015471149	0.0618931328025785	1.34314791627042e-05	0.273840155011018	0.06212322817934	1.04322063324581e-05	1.01641367423829	TRUE	0.0403168258366775	0.77511793614898	0.922950932827592
"MovingShapePC1"	"3R_27043638"	4	164	12	36	0.931818181818182	"line_136;line_303;line_309;line_317;line_361;line_397;line_440;line_559;line_732;line_802;line_855;line_913"	-0.0180057638114358	0.246078772089612	0.490381573704052	-0.237318237184012	0.0533904916121942	8.79109975137302e-06	-0.219853164048077	0.0551711883584718	6.75008432124812e-05	0.926406527609622	TRUE	0.163114966339753	0.454878646507074	0.89558381486591
"MovingShapePC1"	"X_8318357"	1	160	16	40	0.909090909090909	"line_161;line_195;line_239;line_306;line_310;line_317;line_335;line_360;line_362;line_409;line_45;line_486;line_59;line_627;line_630;line_861"	0.00489765278117841	-0.0489765278117914	-0.100039577747544	-0.244921116294338	0.0500920665838145	1.01133880485616e-06	-0.244005894849481	0.0502526352629155	1.20032419766744e-06	0.996263199112007	TRUE	-0.0342821453233763	0.812191039428037	0.922950932827592
"NightPDoze"	"2L_10772724"	2	170	6	43	0.965909090909091	"line_301;line_303;line_380;line_426;line_88;line_913"	-0.982368936928449	-0.972974810891705	0.0165908978080643	-0.254129541291286	0.053898209121621	2.41722086217198e-06	-0.262249532390795	0.0541496291933863	1.27859067256434e-06	1.03195217312497	TRUE	0.139874625398703	0.582042354540524	0.89558381486591
